"Source","Target"
"Ipilimumab","GRN"
"CI-994","GRN"
"ICI-182780","GRN"
"THERALOC THERACIM","GRN"
"BUDEFLAM AQUANASE","GRN"
"KPT-330","GRN"
"R-837","GRN"
"Daratumumab","GRN"
"VINTAFOLIDE","GRN"
"EMEND","GRN"
"IMGATUZUMAB","GRN"
"NECITUMUMAB","GRN"
"VELIPARIB","GRN"
"SYM004","GRN"
"TRAIL-R2MAB XG1-048","GRN"
"FICLATUZUMAB","GRN"
"RO4858696-000","GRN"
"ALDOXORUBICIN","GRN"
"LUMRETUZUMAB","GRN"
"LY-2801653","GRN"
"Letrozole","GRN"
"Pyrotinib","GRN"
"Gedatolisib","GRN"
"PILARALISIB","GRN"
"CHR-2797","GRN"
"PCI-0120","GRN"
"TF 14016","GRN"
"ACLOVATE","GRN"
"SCH-22219","GRN"
"VIOXX","GRN"
"EZATIOSTAT","GRN"
"Doxycycline","GRN"
"AMG-888","GRN"
"Agatolimod","GRN"
"Emibetuzumab","GRN"
"992 DS","GRN"
"CARAC","GRN"
"W-5845","GRN"
"MOTEXAFIN GADOLINIUM","GRN"
"NKTR-102","GRN"
"Fexofenadine","GRN"
"NVP-LGX818","GRN"
"CLARINEX","GRN"
"EXEMESTANE","GRN"
"HM61713","GRN"
"TALAZOPARIB","GRN"
"BGB-324","GRN"
"BI 1482694","GRN"
"CS-1046","GRN"
"LY2606368","GRN"
"EKB-569","GRN"
"CALQUENCE","GRN"
"MK-2866","GRN"
"Gadolinium texaphyrin","GRN"
"AS-703026","GRN"
"Aldara","GRN"
"GILTERITINIB","GRN"
"SCH 34117","GRN"
"2F8","GRN"
"MK-966","GRN"
"Sapanisertib","GRN"
"Apo2L/Trail","GRN"
"Anyara","GRN"
"FLUXID","GRN"
"Encorafenib","GRN"
"Drozitumab","GRN"
"Zibotentan","GRN"
"Olmutinib","GRN"
"Trail-R1 Mab","GRN"
"PIMASERTIB","GRN"
"ELIXICON","GRN"
"Poziotinib","GRN"
"ALCLOMETASONE DIPROPIONATE","GRN"
"VOSAROXIN","GRN"
"TRAIL-R2 MAB","GRN"
"BMN 673","GRN"
"EFUDIX","GRN"
"XR9576","GRN"
"RG7160","GRN"
"Tepotinib","GRN"
"Zalutumumab","GRN"
"PRO-95780","GRN"
"ZD-4054","GRN"
"RO 5185426","GRN"
"Aprepitant","GRN"
"Omnitarg","GRN"
"Omnitarg Perjeta","GRN"
"AG-14447","GRN"
"Antabuse","GRN"
"CINVANTI","GRN"
"ABT-888","GRN"
"EMD 1036239 ","GRN"
"Rhumab-2C4","GRN"
"Tosedostat","GRN"
"MIDETORIN","GRN"
"NVP-LGX818-NXA","GRN"
"RG-7420","GRN"
"Tozasertib","GRN"
"BKT-140","GRN"
"MODRASONE","GRN"
"EMD-1214063","GRN"
"RU-486","GRN"
"Sibrotuzumab","GRN"
"Lynparza","GRN"
"Gd-Tex","GRN"
"Cotellic","GRN"
"APRICOXIB","GRN"
"Theolixir","GRN"
"PELITINIB","GRN"
"Lanophyllin","GRN"
"IMC-11F8","GRN"
"Xcytrin","GRN"
"BL-8040","GRN"
"VOLASERTIB","GRN"
"Esperal","GRN"
"Allegra","GRN"
"KORLYM","GRN"
"LONAFARNIB","GRN"
"RG7116","GRN"
"Trastuzumab-Mcc-Dm1 T-Dm1","GRN"
"Jevtana Kit","GRN"
"L19SIP 131I","GRN"
"CO-1686","GRN"
"PF-3512676","GRN"
"AERIUS","GRN"
"Duraphyl","GRN"
"RAMUCIRUMAB","GRN"
"FP-GP1","GRN"
"BMS-908662","GRN"
"Tybost","GRN"
"Iclusig","GRN"
"SAR-245408","GRN"
"KB-80319","GRN"
"WAY-EKB-569","GRN"
"Ceritinib","GRN"
"HuMax-EGFr","GRN"
"KM-8761","GRN"
"HM-781-36B","GRN"
"AMG-655","GRN"
"SYN1131","GRN"
"Tivantinib","GRN"
"Mifegyne","GRN"
"API-GP3","GRN"
"IPH-2101","GRN"
"Ro-5479599","GRN"
"CDP-820","GRN"
"SIM-6802","GRN"
"R-428","GRN"
"ZELBORAF","GRN"
"HUMAB<EGFR>","GRN"
"PERJETA","GRN"
"TRM-1 HGS-ETR1","GRN"
"VX-970","GRN"
"DESLORATADINE","GRN"
"Uniphyllin Continus","GRN"
"CS-706","GRN"
"GA201","GRN"
"Cometriq","GRN"
"PERTUZUMAB","GRN"
"Theoclear-100","GRN"
"AZD2281","GRN"
"CGS-20267","GRN"
"RG7446","GRN"
"Cabazitaxel","GRN"
"MSC-2156119","GRN"
"Ro-5083945","GRN"
"HY-15150","GRN"
"Urelumab","GRN"
"Etirinotecan Pegol","GRN"
"TARIQUIDAR","GRN"
"MIFEPREX","GRN"
"PROSTIDE","GRN"
"PEPCID AC","GRN"
"QC-11751","GRN"
"PEPCID RPD","GRN"
"CNX-419","GRN"
"GTX-024","GRN"
"Proscar","GRN"
"LUCITANIB","GRN"
"RG7414","GRN"
"THEOCHRON","GRN"
"FAMOTIDINE PRESERVATIVE FREE","GRN"
"Cobicistat","GRN"
"Finasteride","GRN"
"HKI-272","GRN"
"Propecia","GRN"
"TRM-1","GRN"
"LY-2875358","GRN"
"Entinostat","GRN"
"ROCILETINIB","GRN"
"PNU-155971","GRN"
"VOXTALISIB","GRN"
"FCE24304","GRN"
"THEO-24","GRN"
"MATUZUMAB","GRN"
"Avelumab","GRN"
"Belinostat","GRN"
"NOV-120101","GRN"
"11F8","GRN"
"AINDEEM","GRN"
"PD-0325901","GRN"
"Zyclara","GRN"
"MERESTINIB","GRN"
"Dulanermin","GRN"
"FUTUXIMAB","GRN"
"RUCAPARIB","GRN"
"MM-121","GRN"
"RG-1273","GRN"
"AZD-6738","GRN"
"LY-3009120","GRN"
"OSTARINE","GRN"
"WAY-179272","GRN"
"XL-518","GRN"
"BELEODAQ","GRN"
"Mapatumumab","GRN"
"PEPCID","GRN"
"MSC-2156119J","GRN"
"Aromasin","GRN"
"GD texaphyrin","GRN"
"THEOPHYL-225","GRN"
"Enobosarm","GRN"
"DP-4978","GRN"
"VORELOXIN","GRN"
"MSC-1936369B","GRN"
"S-26308","GRN"
"Imiquimod","GRN"
"T140","GRN"
"SCH 66336","GRN"
"Cabozantinib","GRN"
"SNS-595","GRN"
"AG-014699","GRN"
"Nuelin","GRN"
"Anamorelin","GRN"
"GS-3065","GRN"
"ARQ 197","GRN"
"DISULFIRAM","GRN"
"CONATUMUMAB","GRN"
"COBIMETINIB","GRN"
"MSC1936369A; AS703026; EMD 1036239","GRN"
"Femara","GRN"
"BERZOSERTIB","GRN"
"PATRITUMAB","GRN"
"XG1-048","GRN"
"Zykadia","GRN"
"PXD101","GRN"
"VEMURAFENIB","GRN"
"AMG-761","GRN"
"U3-1287","GRN"
"HGS-ETR1","GRN"
"CS-1008","GRN"
"Selinexor","GRN"
"EMD-72000","GRN"
"LGX-818","GRN"
"RU 38486","GRN"
"BPI-9016M","GRN"
"PLX-8394","GRN"
"TRA-8","GRN"
"Sagopilone","GRN"
"MK-869","GRN"
"Pepcid preservative free","GRN"
"TG01","GRN"
"KW-0761","GRN"
"SAR-256212","GRN"
"ALCLOMETASONE","GRN"
"CUDC-101","GRN"
"AV-299","GRN"
"Neoclarityn","GRN"
"Pevonedistat","GRN"
"MK-906","GRN"
"RG-7204","GRN"
"GDC-0973","GRN"
"TIGATUZUMAB","GRN"
"OLARATUMAB","GRN"
"3003-005","GRN"
"ELIXOPHYLLIN","GRN"
"MK-0869","GRN"
"EXEL-2819","GRN"
"EC145","GRN"
"MK-208","GRN"
"DEFACTINIB","GRN"
"NERATINIB","GRN"
"Imodium","GRN"
"HUMAX-CD38","GRN"
"Anti-Dr5 Rhumab-Dr5","GRN"
"PLX-4032","GRN"
"NSC-25953","GRN"
"MOGAMULIZUMAB","GRN"
"BMS-663513","GRN"
"AVL-301","GRN"
"BPI-9016","GRN"
"L19SIP","GRN"
"R-109339","GRN"
"XL-281","GRN"
"INNO-206","GRN"
"SCH-900105","GRN"
"HUMAX-EGFR, 2F8","GRN"
"MK-0966","GRN"
"RG-7421","GRN"
"LINTUZUMAB","GRN"
"Daunorubicin","GRN"
"BVD-523","GRN"
"LY-2157299","GRN"
"Cerubidine","GRN"
"PF-04449913","GRN"
"Romiplostim","GRN"
"Tranylcypromine","GRN"
"Mylotarg","GRN"
"Nplate","GRN"
"Glasdegib","GRN"
"Idamycin","GRN"
"Quizartinib","GRN"
"Venclexta","GRN"
"ASP1517","GRN"
"Mitoxantrone HCl","GRN"
"DAUNOXOME","GRN"
"ROXADUSTAT","GRN"
"Birinapant","GRN"
"CC-90007 Free Base","GRN"
"Methylprednisolone Hemisuccinate","GRN"
"Luspatercept","GRN"
"ENASIDENIB","GRN"
"PF-4449913","GRN"
"Mitoxantrone","GRN"
"POL-6326","GRN"
"Idarubicin","GRN"
"AG-221","GRN"
"Novantrone","GRN"
"Ulixertinib","GRN"
"E2.3","GRN"
"A27.15","GRN"
"Galunisertib","GRN"
"ABT-199","GRN"
"REVOLADE","GRN"
"VRT-752271","GRN"
"Methylprednisolone succinate","GRN"
"Huma-195-Gelonin","GRN"
"TXA127","GRN"
"Etanercept","GRN"
"Eltrombopag","GRN"
"TL32711","GRN"
"ACE-536","GRN"
"FG-4592","GRN"
"Venetoclax","GRN"
"INCB-47986","GRN"
"TIOGUANINE","GRN"
"INCB-047986","GRN"
"MITOXANTRONE HYDROCHLORIDE","GRN"
"DOME-CORT","GRN"
"Dexamethasone acetate","GRN"
"TRIPTORELIN","GRN"
"Bismuth subsalicylate","GRN"
"Obinutuzumab","GRN"
"NE-58095","GRN"
"FOSTAMATINIB","GRN"
"Polatuzumab vedotin","GRN"
"SMS-201-995","GRN"
"CORTISONE","GRN"
"Forodesine","GRN"
"HuMax-CD4","GRN"
"IDEC-IN2B8","GRN"
"Siplizumab","GRN"
"GALIXIMAB","GRN"
"SOTRASTAURIN","GRN"
"CLARITIN REDITABS","GRN"
"VISILIZUMAB","GRN"
"CORTONE","GRN"
"Actonel","GRN"
"Corrective Suspension","GRN"
"CLARITYNE","GRN"
"INEBILIZUMAB","GRN"
"Arzerra","GRN"
"Iratumumab","GRN"
"VELTUZUMAB","GRN"
"MLN9708","GRN"
"HUMAB<CD20>","GRN"
"Adcetris","GRN"
"HEFI-1","GRN"
"Humax-Cd20 2F2","GRN"
"Intron A HSA-free","GRN"
"MARIZOMIB","GRN"
"Fiasp flextouch","GRN"
"CORTELAN","GRN"
"MEDI-551","GRN"
"Brentuximab Vedotin","GRN"
"CORTISTAB","GRN"
"HMPL-523","GRN"
"TOSITUMOMAB","GRN"
"Sterane","GRN"
"Insulin aspart","GRN"
"AFUTUZUMAB","GRN"
"Vumon","GRN"
"Norethindrone Acetate","GRN"
"Ixazomib citrate","GRN"
"Gastro-Cote","GRN"
"Ro-5072759 HUMAB<CD20>","GRN"
"BLINATUMOMAB","GRN"
"Zevalin","GRN"
"INTERFERON GAMMA-1B","GRN"
"GSK-1841157","GRN"
"Children's Claritin","GRN"
"Ninlaro","GRN"
"Decapeptyl","GRN"
"Claritin","GRN"
"Inotuzumab ozogamicin","GRN"
"COPANLISIB","GRN"
"FIASP","GRN"
"YTTRIUM Y 90 EPRATUZUMAB","GRN"
"MEDI-538","GRN"
"RO 5072759 HUMAB<CD20>","GRN"
"MILATUZUMAB","GRN"
"ONTAK","GRN"
"Fodosine","GRN"
"HUMAX-CD20","GRN"
"PROCORALAN","GRN"
"ACTIMMUNE","GRN"
"VM-26","GRN"
"Pepto-Bismol","GRN"
"FERNISOLONE-P","GRN"
"PD 81565","GRN"
"ACD79B-VCMMAE","GRN"
"GAZYVARO","GRN"
"Pramidex","GRN"
"Interferon gamma","GRN"
"Cortisone Acetate","GRN"
"Teniposide","GRN"
"huM291","GRN"
"R-935788","GRN"
"CAC10-VCMMAE","GRN"
"Kytril","GRN"
"HAY-RITE","GRN"
"GA-101","GRN"
"Aurothioglucose","GRN"
"CL 118,532","GRN"
"NORLUTATE","GRN"
"AEB071","GRN"
"MDX-016","GRN"
"LY-278584","GRN"
"Clarityn","GRN"
"Interferon Gamma-2A","GRN"
"DCDS4501A","GRN"
"INS NOVORAPID","GRN"
"BEXXAR","GRN"
"MT-103","GRN"
"BRL-43694","GRN"
"KYPROLIS","GRN"
"HA22","GRN"
"Sancuso","GRN"
"Mercaptopurine anhydrous","GRN"
"IDEC-Y2B8","GRN"
"CL-118532","GRN"
"GRANISETRON","GRN"
"776C85","GRN"
"AYGESTIN","GRN"
"ISATUXIMAB","GRN"
"Sandostatin","GRN"
"TAK-659","GRN"
"SAR-650984","GRN"
"OFATUMUMAB","GRN"
"NOVOLOG FLEXPEN","GRN"
"Palonosetron","GRN"
"RISEDRONIC ACID","GRN"
"ALAVERT","GRN"
"BM 14.190","GRN"
"Octreotide","GRN"
"HL 275","GRN"
"Cortisyl","GRN"
"R788 FREE ACID","GRN"
"R-935788 Free acid","GRN"
"CORTATE","GRN"
"BRICICLIB","GRN"
"Zanolimumab","GRN"
"FCU2711","GRN"
"R-7159","GRN"
"NUVION","GRN"
"Claritin Hives Relief Reditab","GRN"
"RO-5541077-000","GRN"
"HA20","GRN"
"HUMAX-CD20, 2F2","GRN"
"R-788","GRN"
"MDX-060","GRN"
"HUMABCD20","GRN"
"SCH-29851","GRN"
"SUSTOL","GRN"
"BCX-1777","GRN"
"RG-7596","GRN"
"Loratadine","GRN"
"NOVOLOG","GRN"
"Barasertib","GRN"
"Eniluracil","GRN"
"Claritin-D","GRN"
"CLARITYN RAPIDE","GRN"
"IDEC-Y2B8 IDEC-129","GRN"
"2F2","GRN"
"Loratadine Redidose","GRN"
"IDEC-129","GRN"
"LIPEGFILGRASTIM","GRN"
"MEDI-507","GRN"
"RG-7159","GRN"
"ON-013105","GRN"
"Roletra","GRN"
"Ro-5072759","GRN"
"IMMUKIN","GRN"
"CLARITIN HIVES RELIEF","GRN"
"AZD-1152","GRN"
"NORETHIDRONE ACETATE","GRN"
"Risedronate","GRN"
"IMMU-106","GRN"
"Bismukote","GRN"
"IBRITUMOMAB TIUXETAN","GRN"
"REMITOGEN SMART1D10","GRN"
"RO5541077-000","GRN"
"NPI-0052","GRN"
"Zevalin Kit-Indium-111","GRN"
"Dexamethasone phosphate","GRN"
"IDEC-114","GRN"
"SGN-30","GRN"
"ON 014185","GRN"
"HCD-122","GRN"
"SGN-40","GRN"
"Elotuzumab","GRN"
"DACETUZUMAB","GRN"
"Erismodegib","GRN"
"Anti-KIR Antibody","GRN"
"HULUC63","GRN"
"PAMIDRONIC ACID","GRN"
"Indatuximab Ravtansine","GRN"
"SU-101","GRN"
"ACE-001","GRN"
"BHQ-880","GRN"
"Antegran","GRN"
"BMS-901608","GRN"
"Lirilumab","GRN"
"LDE225","GRN"
"IPH2102","GRN"
"Talmapimod","GRN"
"BT-062","GRN"
"Permitil","GRN"
"LEUPRORELIN","GRN"
"HUS2C6","GRN"
"HWA-486","GRN"
"SINGULAIR","GRN"
"ULOCUPLUMAB","GRN"
"ONX-0912","GRN"
"BI-505","GRN"
"BMS-936564","GRN"
"LY-2127399","GRN"
"Lucatumumab","GRN"
"AN100226M","GRN"
"SONIDEGIB","GRN"
"BB-10901","GRN"
"Burixafor","GRN"
"MDX-1338","GRN"
"GSK-2110183","GRN"
"Tabalumab","GRN"
"SU-5416","GRN"
"CX-4945","GRN"
"CGP-23339AE","GRN"
"Arava","GRN"
"PDL-063","GRN"
"SAMALIZUMAB","GRN"
"SOTATERCEPT","GRN"
"Pamidronate","GRN"
"Silmitasertib","GRN"
"SULOL","GRN"
"ALXN-6000","GRN"
"Prolixin","GRN"
"Oprozomib","GRN"
"MK-476","GRN"
"ACE-011","GRN"
"BMS-986015-01","GRN"
"TG-0054","GRN"
"BMS-986015","GRN"
"BC8","GRN"
"HUN901-DM1","GRN"
"CHIR-12.12","GRN"
"BC8 131I","GRN"
"Leuprolide","GRN"
"REGN910","GRN"
"Keselen","GRN"
"MA-1","GRN"
"LY2523355","GRN"
"RG-7597","GRN"
"Estromenin","GRN"
"Palestrol","GRN"
"GR-38032","GRN"
"SOMATULINE AUTOGEL","GRN"
"CHLORPROMAZINE TANNATE","GRN"
"Fonatol","GRN"
"Onapristone","GRN"
"Catapres-Tts-1","GRN"
"M3","GRN"
"PPI-149","GRN"
"Opddd","GRN"
"AV-203","GRN"
"TPI (FREEBASE)","GRN"
"ADENOSCAN","GRN"
"SAR-125844","GRN"
"FE200486 (AS ACETATE SALT)","GRN"
"Suprefact","GRN"
"Duligotumab","GRN"
"Stilbestrol","GRN"
"ZD1033","GRN"
"THEICAL D-3","GRN"
"O,P'-DDD","GRN"
"Golvatinib","GRN"
"PF-05082566","GRN"
"Oxandrin","GRN"
"ALDACTONE","GRN"
"WX-554","GRN"
"RU 23908","GRN"
"Histrelin","GRN"
"KERAL","GRN"
"Depo-Subq Provera 104","GRN"
"MEGESTROL","GRN"
"R3827","GRN"
"ICRUCUMAB","GRN"
"Saridegib","GRN"
"Telisotuzumab","GRN"
"LEVOBUPIVACAINE","GRN"
"Sulindac","GRN"
"SunVit-D3 20,000","GRN"
"TAMPOVAGAN","GRN"
"ZD-1694","GRN"
"TCD-717","GRN"
"Evacal D3","GRN"
"MORAB-004","GRN"
"Tribavirin","GRN"
"ERRIN","GRN"
"AGS-22M6E","GRN"
"BDH 1298","GRN"
"POLYESTRADIOL PHOSPHATE","GRN"
"FORTUNAN","GRN"
"Nilandron","GRN"
"Ertumaxomab","GRN"
"Bicalutamide","GRN"
"Haldol Solutab","GRN"
"Troxacitabine","GRN"
"FARLUTAL","GRN"
"17-1A","GRN"
"BIO-VITAMIN D3","GRN"
"Cubicole D3","GRN"
"Patidegib","GRN"
"LGD-1057","GRN"
"Largactil","GRN"
"FARLUTAL 500","GRN"
"CATUMAXOMAB","GRN"
"ESTROGENINE","GRN"
"SCH 13521","GRN"
"CALDRINK D3","GRN"
"CI-880","GRN"
"MEGACE ES","GRN"
"AD 32","GRN"
"MICRONOR HRT","GRN"
"FULTIUM DAILY D3","GRN"
"Refametinib","GRN"
"CHLORPROMAZINE PHENOLPHTHALINATE","GRN"
"Anastrozole","GRN"
"TIPIRACIL","GRN"
"DEPATUXIZUMAB MAFODOTIN","GRN"
"Degarelix","GRN"
"Diethylstilbestrol","GRN"
"VIRAZOLE","GRN"
"NESVACUMAB","GRN"
"VANTICTUMAB","GRN"
"Actilyse Cathflo","GRN"
"BGB-283","GRN"
"Amsacrine","GRN"
"Suprecur","GRN"
"Mitotane","GRN"
"Depo-Provera Oncology","GRN"
"JENCYCLA","GRN"
"TOREMIFENE","GRN"
"Utomilumab","GRN"
"REBASTINIB","GRN"
"Distilbene","GRN"
"RALTITREXED","GRN"
"Fosbretabulin","GRN"
"Naphazoline","GRN"
"RG-7334","GRN"
"SERENACE","GRN"
"ColeKal-D3","GRN"
"GSK-1070916","GRN"
"HMPL-813","GRN"
"Provera","GRN"
"Nphd3","GRN"
"Diethylstilbestrol Diphosphate","GRN"
"EMD-1204831","GRN"
"NATECAL D3","GRN"
"ORIMETEN","GRN"
"DLUX 400","GRN"
"MORAb-003","GRN"
"Dekristol","GRN"
"EULEXIN","GRN"
"Dolpin","GRN"
"Vigantoletten 500","GRN"
"Doxercalciferol","GRN"
"Ravoxertinib","GRN"
"BMS-777607","GRN"
"CHIMAX","GRN"
"VIGANTOL","GRN"
"GOSERELIN ACETATE","GRN"
"LITRONESIB","GRN"
"ADGYN MEDRO","GRN"
"FE-200486","GRN"
"ASCRINVACUMAB","GRN"
"ADCAL-D3","GRN"
"CB7630","GRN"
"R-1625","GRN"
"Combipatch","GRN"
"ACIFEROL D3","GRN"
"ESTINYL","GRN"
"SunVit-D3 400","GRN"
"ICI D1033","GRN"
"Edrecolomab","GRN"
"SUNVIT-D3 1,000","GRN"
"Nilotinib","GRN"
"Calcichew D3 Fte","GRN"
"Stilboesterol","GRN"
"Panretin","GRN"
"BI-811283","GRN"
"Clorpres","GRN"
"D-TRACETTEN","GRN"
"MENZOL","GRN"
"Stilbestroform","GRN"
"Valstar","GRN"
"CH5132799","GRN"
"Tasigna","GRN"
"POLYEST PHOS","GRN"
"NORETHIDRONE","GRN"
"TOCTINO","GRN"
"RO5520985","GRN"
"Adenocard","GRN"
"ARQ-736","GRN"
"Haldol","GRN"
"SC-11585","GRN"
"NORETHISTERONE","GRN"
"Desmethylondansetron","GRN"
"ANAVAR","GRN"
"MDV3100","GRN"
"AGS-22ME","GRN"
"Micronor","GRN"
"MEHD7945A","GRN"
"ABT-414","GRN"
"NORIDAY","GRN"
"PF-03446962","GRN"
"Ipafricept","GRN"
"NILUTAMIDE","GRN"
"LEO 114","GRN"
"D-VIT3","GRN"
"ICI-176334","GRN"
"COPEGUS","GRN"
"STILBOESTROL","GRN"
"Anadron","GRN"
"FLUTAMIDE","GRN"
"THORAZINE","GRN"
"DESUNIN","GRN"
"Norlutin","GRN"
"Activella","GRN"
"L19IL2","GRN"
"AGS-22CE","GRN"
"Arimidex","GRN"
"Dexketoprofen","GRN"
"Zytiga","GRN"
"Tomudex","GRN"
"HCBE-11","GRN"
"LG100057","GRN"
"CALCICHEW D3 ONCE DAILY","GRN"
"LYNORAL","GRN"
"Claudiximab","GRN"
"ZK-299","GRN"
"IMAB-362","GRN"
"Farlutal 200","GRN"
"ST-155BS","GRN"
"Hux D3","GRN"
"Drogenil","GRN"
"Sonazine","GRN"
"MK-2461","GRN"
"NCI-249992","GRN"
"AMN 107","GRN"
"SunVit-D3 5,000","GRN"
"MSC-2015103B","GRN"
"SC 10363","GRN"
"ALRT-1057","GRN"
"REMOVAB","GRN"
"Zofran","GRN"
"Incassia","GRN"
"POLYESTRADIOL PHOS PHOSPHATE","GRN"
"5071","GRN"
"KENTACE","GRN"
"Ro-4987655","GRN"
"CAMILA","GRN"
"Hectorol","GRN"
"ICI-118630","GRN"
"ASG-22ME","GRN"
"Protium","GRN"
"Apstil","GRN"
"Chlorpromazine Hibenzate","GRN"
"D-MAX","GRN"
"Estrobene","GRN"
"STILBETIN","GRN"
"DOZIC","GRN"
"SAR-260301","GRN"
"CAPTOPRIL","GRN"
"Lanreotide","GRN"
"Morphine","GRN"
"Utovlan","GRN"
"Catapres-Tts-3","GRN"
"AMINOGLUTETHIMIDE","GRN"
"TB-403","GRN"
"DEPO-PROVERA","GRN"
"FARLETUZUMAB","GRN"
"Larotrectinib","GRN"
"Megace","GRN"
"BUSERELIN","GRN"
"OXANDROLONE","GRN"
"Duraclon","GRN"
"AS-703988","GRN"
"Supprelin","GRN"
"ABIRATERONE ACETATE","GRN"
"ACTIVASE","GRN"
"HUMAX-IL8","GRN"
"ZOLADEX","GRN"
"Firmagon","GRN"
"Entolimod","GRN"
"SUNVIT-D3 10,000","GRN"
"Cacit D3","GRN"
"MSX-122","GRN"
"RG7221","GRN"
"SPIROSPARE 100","GRN"
"CB-313","GRN"
"VALSTAR PRESERVATIVE FREE","GRN"
"NEO-D","GRN"
"PANOREX","GRN"
"ST-155-BS","GRN"
"Zuplenz","GRN"
"GSK-1059615","GRN"
"RG-7842","GRN"
"ICI 118,630","GRN"
"ONTUXIZUMAB","GRN"
"ZK-98299","GRN"
"Valrubicin","GRN"
"Cosudex","GRN"
"ABIRATERONE","GRN"
"BRONTICTUZUMAB","GRN"
"TAK-700","GRN"
"OMP-18R5","GRN"
"CYREN A","GRN"
"M-AMSA","GRN"
"CYTADREN","GRN"
"ICI 176,334","GRN"
"Amsidyl","GRN"
"CALCEOS","GRN"
"Pro D3","GRN"
"Nastrosa","GRN"
"RWJ-17070","GRN"
"ABT-700","GRN"
"MK-8353","GRN"
"VB6-845","GRN"
"OSTEOCAPS D3","GRN"
"CLINORIL","GRN"
"Kf89617","GRN"
"ICI-46474","GRN"
"Estradurin","GRN"
"ZD-16","GRN"
"BXL 353","GRN"
"PF-03758309","GRN"
"ILX23-7553","GRN"
"Orteronel","GRN"
"REXOMUN","GRN"
"Nolvadex","GRN"
"RG-7440","GRN"
"REBETOL","GRN"
"Plenaxis","GRN"
"Goserelin","GRN"
"MCN-JR-1625","GRN"
"Synthestrin","GRN"
"GR-38032F","GRN"
"AV-412","GRN"
"SCH-900353","GRN"
"ACTILYSE","GRN"
"Duligotuzumab","GRN"
"GDC-0994","GRN"
"Somatuline LA","GRN"
"ILX7553","GRN"
"Ovaban","GRN"
"Muromonab-cd3","GRN"
"Abarelix","GRN"
"SYNESTRIN","GRN"
"Stivit-D3","GRN"
"CYCRIN","GRN"
"STILPHOSTROL","GRN"
"Catapres-Tts-2","GRN"
"Enfortumab vedotin","GRN"
"Nafazair","GRN"
"JNJ-38877605","GRN"
"CBLB502","GRN"
"Lysodren","GRN"
"AC-480","GRN"
"Vanucizumab","GRN"
"PRIMOLUT N","GRN"
"ORF-17070","GRN"
"Nor-Qd","GRN"
"Femhrt","GRN"
"Megaphen","GRN"
"C-1","GRN"
"Catapres","GRN"
"Fosfestrol","GRN"
"LOXO-101","GRN"
"Combipres","GRN"
"Kalumid","GRN"
"Casodex","GRN"
"OMP-54F28","GRN"
"AMG-337","GRN"
"NMS-1116354","GRN"
"E-6201","GRN"
"MP-412","GRN"
"Zofran Odt","GRN"
"Calutide","GRN"
"NEW-ESTRANOL 1","GRN"
"Ro-23-7553","GRN"
"Elmarin","GRN"
"HEATHER","GRN"
"PF-04217903","GRN"
"BAY-86-9766","GRN"
"CH-4987655","GRN"
"BMS-599626","GRN"
"RDEA-119","GRN"
"Soltamox","GRN"
"IPI-926","GRN"
"Tesevatinib","GRN"
"Equine Chorionic Gonadotropin","GRN"
"AN-152","GRN"
"FERTIRAL LH-RH","GRN"
"Elocon","GRN"
"Mometasone Furoate","GRN"
"RAD-1901","GRN"
"IMMU-132","GRN"
"CR-011-vcMMAE","GRN"
"ZAFIRLUKAST","GRN"
"ACOLBIFENE","GRN"
"Glembatumumab","GRN"
"ESTRATAB","GRN"
"Nardil","GRN"
"Asmanex Twisthaler","GRN"
"Thyrolar-3","GRN"
"Netupitant","GRN"
"Zyprexa","GRN"
"RINTATOLIMOD","GRN"
"LY-22288220","GRN"
"DURAGESIC-100","GRN"
"SCH-32088","GRN"
"Binosto","GRN"
"Metosyn Fapg","GRN"
"MAXIMET SR","GRN"
"FLUOCINONIDE EMULSIFIED BASE","GRN"
"MARGETUXIMAB","GRN"
"Pardelprin MR","GRN"
"Ampligen","GRN"
"INDO-PAED","GRN"
"Lidex","GRN"
"MOBILAN","GRN"
"SLO-INDO","GRN"
"Asmanex hfa","GRN"
"ZOSTRIX HP","GRN"
"ANADIN LIQUIFAST","GRN"
"Riker 52G","GRN"
"Compro","GRN"
"Junior Strength Motrin","GRN"
"Fempatch","GRN"
"Dihydrotheelin","GRN"
"Indocid-R","GRN"
"Berlind 75 Ret","GRN"
"VENLADEX XL","GRN"
"MOMETASONE","GRN"
"DERMESTRIL 25","GRN"
"Lidifen","GRN"
"FLUOCINONIDE","GRN"
"Indolar SR","GRN"
"STX-64","GRN"
"ZOPTARELIN DOXORUBICIN","GRN"
"Bazedoxifene","GRN"
"Vanos","GRN"
"Dermestril Septem 25","GRN"
"INDOMETACIN FARNESIL","GRN"
"Seribantumab","GRN"
"INDOLAR","GRN"
"FOSAMAX","GRN"
"Crofelemer","GRN"
"Rathyronine","GRN"
"hMN-14","GRN"
"BRE-3","GRN"
"Brilanestrant","GRN"
"CHORIONIC GONADOTROPIN","GRN"
"Euthroid-2","GRN"
"NASONEX","GRN"
"AEZS-108","GRN"
"Hemay-022","GRN"
"CHORAGON","GRN"
"ARN-810","GRN"
"Testopatch","GRN"
"AS-1402","GRN"
"PROCHLORPERAZINE MESILATE","GRN"
"ANDROID-F","GRN"
"LEDMECIN","GRN"
"TamoGel","GRN"
"Indo-Lemmon","GRN"
