"Id","Label","Class"
"DACOGEN","DACOGEN","DRUG"
"PEVONEDISTAT","PEVONEDISTAT","DRUG"
"REVLIMID","REVLIMID","DRUG"
"RASUVO","RASUVO","DRUG"
"Altiratinib","Altiratinib","DRUG"
"Fimepinostat","Fimepinostat","DRUG"
"IMETELSTAT","IMETELSTAT","DRUG"
"GRN163L","GRN163L","DRUG"
"CHEMBL2916","CHEMBL2916","DRUG"
"IMETELSTAT SODIUM","IMETELSTAT SODIUM","DRUG"
"Tertomotide","Tertomotide","DRUG"
"Zidovudine","Zidovudine","DRUG"
"VERZENIO","VERZENIO","DRUG"
"Bortezomib","Bortezomib","DRUG"
"GANITE","GANITE","DRUG"
"Lorvotuzumab Mertansine","Lorvotuzumab Mertansine","DRUG"
"TBO-FILGRASTIM","TBO-FILGRASTIM","DRUG"
"Ikervis","Ikervis","DRUG"
"BICNU","BICNU","DRUG"
"GENGRAF","GENGRAF","DRUG"
"ABEMACICLIB","ABEMACICLIB","DRUG"
"Deltasone","Deltasone","DRUG"
"BECATECARIN","BECATECARIN","DRUG"
"VEPESID","VEPESID","DRUG"
"Irinotecan","Irinotecan","DRUG"
"Cortancyl","Cortancyl","DRUG"
"Rituxan","Rituxan","DRUG"
"MABCAMPATH","MABCAMPATH","DRUG"
"BMY-40481","BMY-40481","DRUG"
"DELTA-DOME","DELTA-DOME","DRUG"
"Cortigel","Cortigel","DRUG"
"Gallium Nitrate","Gallium Nitrate","DRUG"
"TORISEL","TORISEL","DRUG"
"Decitabine","Decitabine","DRUG"
"REPOSITORY CORTICOTROPIN","REPOSITORY CORTICOTROPIN","DRUG"
"Tasmar","Tasmar","DRUG"
"Vaniqa","Vaniqa","DRUG"
"MABTHERA","MABTHERA","DRUG"
"HYCAMTIN","HYCAMTIN","DRUG"
"MLN8237","MLN8237","DRUG"
"GLIADEL","GLIADEL","DRUG"
"Retin-A","Retin-A","DRUG"
"Ro-43780","Ro-43780","DRUG"
"XALKORI","XALKORI","DRUG"
"LIQUID PRED","LIQUID PRED","DRUG"
"Purified Cortrophin Gel","Purified Cortrophin Gel","DRUG"
"CORTICOTROPIN","CORTICOTROPIN","DRUG"
"CORTROPHIN","CORTROPHIN","DRUG"
"ETOPOPHOS PRESERVATIVE FREE","ETOPOPHOS PRESERVATIVE FREE","DRUG"
"Bevacizumab","Bevacizumab","DRUG"
"MABTHERA RITUXAN","MABTHERA RITUXAN","DRUG"
"IMGN-901","IMGN-901","DRUG"
"ACTH","ACTH","DRUG"
"CARMUSTINE","CARMUSTINE","DRUG"
"CAPRELSA","CAPRELSA","DRUG"
"Aclasta","Aclasta","DRUG"
"Ornidyl","Ornidyl","DRUG"
"ALISERTIB","ALISERTIB","DRUG"
"Adrenomone","Adrenomone","DRUG"
"Ro-407592","Ro-407592","DRUG"
"BCNU","BCNU","DRUG"
"Pembrolizumab","Pembrolizumab","DRUG"
"Eflornithine","Eflornithine","DRUG"
"Acthar Gel","Acthar Gel","DRUG"
"Ciclosporin","Ciclosporin","DRUG"
"LY2835219","LY2835219","DRUG"
"ETOPOSIDE PHOSPHATE","ETOPOSIDE PHOSPHATE","DRUG"
"Camptosar","Camptosar","DRUG"
"CAMPATH-1H","CAMPATH-1H","DRUG"
"CORTICOTROPIN, REPOSITORY","CORTICOTROPIN, REPOSITORY","DRUG"
"Adrenocorticotropic Hormone","Adrenocorticotropic Hormone","DRUG"
"H.P. ACTHAR GEL","H.P. ACTHAR GEL","DRUG"
"NVP-LEE011","NVP-LEE011","DRUG"
"LEE-011","LEE-011","DRUG"
"ACTHAR","ACTHAR","DRUG"
"ETOPOPHOS","ETOPOPHOS","DRUG"
"HUN901-DM1, BB-10901","HUN901-DM1, BB-10901","DRUG"
"Adrenocorticotropin","Adrenocorticotropin","DRUG"
"Ro-40-7592","Ro-40-7592","DRUG"
"Ribociclib","Ribociclib","DRUG"
"CYT-387","CYT-387","DRUG"
"Iscover","Iscover","DRUG"
"NU-SEALS CARDIO 75","NU-SEALS CARDIO 75","DRUG"
"PLATET 300","PLATET 300","DRUG"
"Hydroxyurea","Hydroxyurea","DRUG"
"XL-019","XL-019","DRUG"
"CYT-11387","CYT-11387","DRUG"
"Gencardia","Gencardia","DRUG"
"Momelotinib","Momelotinib","DRUG"
"Grepid","Grepid","DRUG"
"Hydrea","Hydrea","DRUG"
"ACETYLSALIC ACID","ACETYLSALIC ACID","DRUG"
"NU-SEALS 75","NU-SEALS 75","DRUG"
"Disprin Direct","Disprin Direct","DRUG"
"GS-0387","GS-0387","DRUG"
"ANAGRELIDE","ANAGRELIDE","DRUG"
"Xagrid","Xagrid","DRUG"
"Agrylin","Agrylin","DRUG"
"AZD-1480","AZD-1480","DRUG"
"CEDOCARD","CEDOCARD","DRUG"
"NITROMIN","NITROMIN","DRUG"
"TRANSDERM-NITRO","TRANSDERM-NITRO","DRUG"
"CEDOCARD-20","CEDOCARD-20","DRUG"
"Vascardin","Vascardin","DRUG"
"Isoket 0.05%","Isoket 0.05%","DRUG"
"SORBITRATE","SORBITRATE","DRUG"
"ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE","DRUG"
"Elantan LA 25","Elantan LA 25","DRUG"
"Nipride","Nipride","DRUG"
"Isoket Ret 40","Isoket Ret 40","DRUG"
"Inomax","Inomax","DRUG"
"ISOTARD 40 XL","ISOTARD 40 XL","DRUG"
"NITROGLYCERIN","NITROGLYCERIN","DRUG"
"TRANSIDERM-NITRO 5","TRANSIDERM-NITRO 5","DRUG"
"Sodium Nitroferricyanide","Sodium Nitroferricyanide","DRUG"
"SONI-SLO","SONI-SLO","DRUG"
"CARVASIN","CARVASIN","DRUG"
"ISODUR 25 XL","ISODUR 25 XL","DRUG"
"VASOTRATE 60 SR","VASOTRATE 60 SR","DRUG"
"ASTRODUR MR","ASTRODUR MR","DRUG"
"SLOMON XL 60","SLOMON XL 60","DRUG"
"ISOCARD","ISOCARD","DRUG"
"MINITRAN 15","MINITRAN 15","DRUG"
"Minitran 5","Minitran 5","DRUG"
"TRINTEK 10","TRINTEK 10","DRUG"
"TENKOSORB","TENKOSORB","DRUG"
"Isoket 5","Isoket 5","DRUG"
"SORBID SA","SORBID SA","DRUG"
"ANGEZE 20","ANGEZE 20","DRUG"
"ELANTAN 20","ELANTAN 20","DRUG"
"SORBID-40 SA","SORBID-40 SA","DRUG"
"ISOTARD 25 XL","ISOTARD 25 XL","DRUG"
"ISOKET RET 20","ISOKET RET 20","DRUG"
"Suscard Buccal","Suscard Buccal","DRUG"
"ANGEZE 10","ANGEZE 10","DRUG"
"RECTIV","RECTIV","DRUG"
"Cedocard-40","Cedocard-40","DRUG"
"CIBRAL 40","CIBRAL 40","DRUG"
"DILATRATE-SR","DILATRATE-SR","DRUG"
"Imtack","Imtack","DRUG"
"ISOKET 0.1%","ISOKET 0.1%","DRUG"
"Adempas","Adempas","DRUG"
"Jeridin","Jeridin","DRUG"
"CEDOCARD RET","CEDOCARD RET","DRUG"
"MONO-CEDOCARD 20","MONO-CEDOCARD 20","DRUG"
"RIOCIGUAT","RIOCIGUAT","DRUG"
"ANGEZE SR 40","ANGEZE SR 40","DRUG"
"Sorbichew","Sorbichew","DRUG"
"Monit","Monit","DRUG"
"IMO LA","IMO LA","DRUG"
"DEPONIT 10","DEPONIT 10","DRUG"
"PERCUTOL","PERCUTOL","DRUG"
"Modisal LA 25","Modisal LA 25","DRUG"
"SORBIDE NITRATE","SORBIDE NITRATE","DRUG"
"Angitak","Angitak","DRUG"
"Imdur","Imdur","DRUG"
"Monodur","Monodur","DRUG"
"MONIGEN XL 60","MONIGEN XL 60","DRUG"
"ISOTARD 50 XL","ISOTARD 50 XL","DRUG"
"BAY 63-2521","BAY 63-2521","DRUG"
"Sodium Nitroprusside","Sodium Nitroprusside","DRUG"
"CEDOCARD-5","CEDOCARD-5","DRUG"
"ISIB 50 XL","ISIB 50 XL","DRUG"
"NITRO-MACK RET","NITRO-MACK RET","DRUG"
"Phasonit LA 50","Phasonit LA 50","DRUG"
"Modisal LA 50","Modisal LA 50","DRUG"
"Trinitrin Tablets","Trinitrin Tablets","DRUG"
"DILATRATE","DILATRATE","DRUG"
"NITRO IV","NITRO IV","DRUG"
"Monit LS","Monit LS","DRUG"
"ISORDIL","ISORDIL","DRUG"
"CEDOCARD-10","CEDOCARD-10","DRUG"
"ISORDIL TEMBIDS","ISORDIL TEMBIDS","DRUG"
"ISIB 60 XL","ISIB 60 XL","DRUG"
"Nitriderm TTS","Nitriderm TTS","DRUG"
"SORBIDILAT","SORBIDILAT","DRUG"
"Isoket 20","Isoket 20","DRUG"
"Eumon 60 XL","Eumon 60 XL","DRUG"
"Angeze SR 60","Angeze SR 60","DRUG"
"NITROPRESS","NITROPRESS","DRUG"
"SORBID-20 SA","SORBID-20 SA","DRUG"
"Ziotan XL","Ziotan XL","DRUG"
"Iso Mack","Iso Mack","DRUG"
"CARMIL XL","CARMIL XL","DRUG"
"Isosorbide Dinitrate","Isosorbide Dinitrate","DRUG"
"Isotrate","Isotrate","DRUG"
"ELANTAN LA 50","ELANTAN LA 50","DRUG"
"Monomax XL","Monomax XL","DRUG"
"ISOKET 10","ISOKET 10","DRUG"
"IDELALISIB","IDELALISIB","DRUG"
"Obatoclax","Obatoclax","DRUG"
"ARA-CYTIDINE","ARA-CYTIDINE","DRUG"
"MAXTREX","MAXTREX","DRUG"
"ZLATAL","ZLATAL","DRUG"
"Amethopterin","Amethopterin","DRUG"
"AP23573","AP23573","DRUG"
"Vismodegib","Vismodegib","DRUG"
"AB-0024","AB-0024","DRUG"
"GS-6624","GS-6624","DRUG"
"Arabinosyl Cytosine","Arabinosyl Cytosine","DRUG"
"NAVITOCLAX","NAVITOCLAX","DRUG"
"Simtuzumab","Simtuzumab","DRUG"
"Erivedge","Erivedge","DRUG"
"ABT-263","ABT-263","DRUG"
"TAK-901","TAK-901","DRUG"
"NS-018","NS-018","DRUG"
"BUDELIN NOVOLIZER","BUDELIN NOVOLIZER","DRUG"
"MK-4827","MK-4827","DRUG"
"VENTAVIS","VENTAVIS","DRUG"
"Calciferol In Arach Oil","Calciferol In Arach Oil","DRUG"
"MK-1775","MK-1775","DRUG"
"REFLUDAN","REFLUDAN","DRUG"
"ARRY-162","ARRY-162","DRUG"
"BONDRONAT","BONDRONAT","DRUG"
"Figitumumab","Figitumumab","DRUG"
"ARRY-438162","ARRY-438162","DRUG"
"Preferid","Preferid","DRUG"
"INCB-39110","INCB-39110","DRUG"
"Alectinib","Alectinib","DRUG"
"PASIREOTIDE","PASIREOTIDE","DRUG"
"Pulmicort Flexhaler","Pulmicort Flexhaler","DRUG"
"UCERIS","UCERIS","DRUG"
"CAROTUXIMAB","CAROTUXIMAB","DRUG"
"TACEDINALINE","TACEDINALINE","DRUG"
"PDX","PDX","DRUG"
"FK-228","FK-228","DRUG"
"MGCD-0103","MGCD-0103","DRUG"
"Anetumab ravtansine","Anetumab ravtansine","DRUG"
"ERGO-D2","ERGO-D2","DRUG"
"PULMICORT","PULMICORT","DRUG"
"CALCIFEROL","CALCIFEROL","DRUG"
"EFAPROXIRAL","EFAPROXIRAL","DRUG"
"B2036-PEG","B2036-PEG","DRUG"
"CH5424802","CH5424802","DRUG"
"Palbociclib","Palbociclib","DRUG"
"METHYLPREDNISOLONE","METHYLPREDNISOLONE","DRUG"
"Itacitinib","Itacitinib","DRUG"
"Pegvisomant","Pegvisomant","DRUG"
"GIOTRIF","GIOTRIF","DRUG"
"PRO-143996","PRO-143996","DRUG"
"ZEJULA","ZEJULA","DRUG"
"STEROGYL-15","STEROGYL-15","DRUG"
"RHINOCORT ALLERGY","RHINOCORT ALLERGY","DRUG"
"Flolipid","Flolipid","DRUG"
"LANES","LANES","DRUG"
"HR3","HR3","DRUG"
"IMC-C225","IMC-C225","DRUG"
"PRALATREXATE","PRALATREXATE","DRUG"
"Metmab","Metmab","DRUG"
"Ibandronic Acid","Ibandronic Acid","DRUG"
"AFATINIB","AFATINIB","DRUG"
"TRAMETINIB","TRAMETINIB","DRUG"
"TAGRISSO","TAGRISSO","DRUG"
"KETALAR","KETALAR","DRUG"
"SOMAVERT","SOMAVERT","DRUG"
"ONARTUZUMAB","ONARTUZUMAB","DRUG"
"Diphenhydramine","Diphenhydramine","DRUG"
"ENTOCORT EC","ENTOCORT EC","DRUG"
"FR-901228","FR-901228","DRUG"
"NYP-INC280-NX","NYP-INC280-NX","DRUG"
"Rhinocort Aqua","Rhinocort Aqua","DRUG"
"C225","C225","DRUG"
"Trastuzumab","Trastuzumab","DRUG"
"PAZOPANIB","PAZOPANIB","DRUG"
"ISTODAX","ISTODAX","DRUG"
"PRECEDEX","PRECEDEX","DRUG"
"ILOPROST","ILOPROST","DRUG"
"PD-0332991","PD-0332991","DRUG"
"CI-1033","CI-1033","DRUG"
"Rhinocort Aqua 64","Rhinocort Aqua 64","DRUG"
"Vectibix","Vectibix","DRUG"
"BUDENOFALK","BUDENOFALK","DRUG"
"ENTOCORT","ENTOCORT","DRUG"
"Zaltrap","Zaltrap","DRUG"
"GWP42003-P","GWP42003-P","DRUG"
"IMC-225","IMC-225","DRUG"
"SOM230","SOM230","DRUG"
"Marimastat","Marimastat","DRUG"
"NIRAPARIB","NIRAPARIB","DRUG"
"Boniva","Boniva","DRUG"
"Tafinlar","Tafinlar","DRUG"
"EGF816","EGF816","DRUG"
"Romidepsin","Romidepsin","DRUG"
"RHINOCORT","RHINOCORT","DRUG"
"Lepirudin","Lepirudin","DRUG"
"Ibrance","Ibrance","DRUG"
"Xyotax","Xyotax","DRUG"
"Nimotuzumab","Nimotuzumab","DRUG"
"FOLOTYN","FOLOTYN","DRUG"
"INCB039110","INCB039110","DRUG"
"TAXOL","TAXOL","DRUG"
"DENOSUMAB","DENOSUMAB","DRUG"
"MEKINIST","MEKINIST","DRUG"
"Canertinib","Canertinib","DRUG"
"OSIMERTINIB","OSIMERTINIB","DRUG"
"PULMICORT RESPULES","PULMICORT RESPULES","DRUG"
"TheraCIM-hR3","TheraCIM-hR3","DRUG"
"BAY-949343","BAY-949343","DRUG"
"Capmatinib","Capmatinib","DRUG"
"PD 123654","PD 123654","DRUG"
"LEPIRUDIN RECOMBINANT","LEPIRUDIN RECOMBINANT","DRUG"
"4D5V8","4D5V8","DRUG"
"ALIMTA","ALIMTA","DRUG"
"CAPECITABINE","CAPECITABINE","DRUG"
"AVE0005","AVE0005","DRUG"
"SIGNIFOR","SIGNIFOR","DRUG"
"Zyflo Cr","Zyflo Cr","DRUG"
"TREMELIMUMAB","TREMELIMUMAB","DRUG"
"PD-18435","PD-18435","DRUG"
"ZIV-AFLIBERCEPT","ZIV-AFLIBERCEPT","DRUG"
"FULVESTRANT","FULVESTRANT","DRUG"
"GILOTRIF","GILOTRIF","DRUG"
"Chromadax","Chromadax","DRUG"
"MOCETINOSTAT","MOCETINOSTAT","DRUG"
"Synvinolin","Synvinolin","DRUG"
"DRISDOL","DRISDOL","DRUG"
"ZILEUTON","ZILEUTON","DRUG"
"Volociximab","Volociximab","DRUG"
"S-1320","S-1320","DRUG"
"ULTANE","ULTANE","DRUG"
"PAXENE","PAXENE","DRUG"
"DUORESP SPIROMAX","DUORESP SPIROMAX","DRUG"
"DISOPROFOL","DISOPROFOL","DRUG"
"INCB-28060","INCB-28060","DRUG"
"TARGRETIN","TARGRETIN","DRUG"
"Cetuximab","Cetuximab","DRUG"
"Votrient","Votrient","DRUG"
"AZD-9291","AZD-9291","DRUG"
"Foradil","Foradil","DRUG"
"SYMBICORT","SYMBICORT","DRUG"
"CBD","CBD","DRUG"
"ICI 182,780","ICI 182,780","DRUG"
"FASLODEX","FASLODEX","DRUG"
"THERALOC","THERALOC","DRUG"
"SS1(DSFV)-PE38","SS1(DSFV)-PE38","DRUG"
"PRO-143966","PRO-143966","DRUG"
"AIRCORT","AIRCORT","DRUG"
"Bonviva","Bonviva","DRUG"
"PF-00299804","PF-00299804","DRUG"
"Entocort CR","Entocort CR","DRUG"
"GOE-5549","GOE-5549","DRUG"
"ZK-00036374","ZK-00036374","DRUG"
"GSK2118436A","GSK2118436A","DRUG"
"MUPARFOSTAT","MUPARFOSTAT","DRUG"
"AZD-1775","AZD-1775","DRUG"
"CEDIRANIB","CEDIRANIB","DRUG"
"Dabrafenib","Dabrafenib","DRUG"
"GSK1120212","GSK1120212","DRUG"
"Amrubicin","Amrubicin","DRUG"
"Ciloprost","Ciloprost","DRUG"
"MEK-162","MEK-162","DRUG"
"Ibandronate","Ibandronate","DRUG"
"Cortiment","Cortiment","DRUG"
"Iasibon","Iasibon","DRUG"
"Budesonide","Budesonide","DRUG"
"ZD-9238","ZD-9238","DRUG"
"RSR13","RSR13","DRUG"
"Formoterol","Formoterol","DRUG"
"CI-1040","CI-1040","DRUG"
"QUODIXOR","QUODIXOR","DRUG"
"RANZOLONT","RANZOLONT","DRUG"
"NVP-INC280","NVP-INC280","DRUG"
"INC-280","INC-280","DRUG"
"RETASPIMYCIN","RETASPIMYCIN","DRUG"
"Dacomitinib","Dacomitinib","DRUG"
"Pulmaxan","Pulmaxan","DRUG"
"BAY-94-9343","BAY-94-9343","DRUG"
"PULMICORT L.S.","PULMICORT L.S.","DRUG"
"BIBW-2992","BIBW-2992","DRUG"
"NVP-MEK162","NVP-MEK162","DRUG"
"Binimetinib","Binimetinib","DRUG"
"PD-184352","PD-184352","DRUG"
"ERBITUX","ERBITUX","DRUG"
"BB-2516","BB-2516","DRUG"
"Ipilimumab","Ipilimumab","DRUG"
"CI-994","CI-994","DRUG"
"ICI-182780","ICI-182780","DRUG"
"THERALOC THERACIM","THERALOC THERACIM","DRUG"
"BUDEFLAM AQUANASE","BUDEFLAM AQUANASE","DRUG"
"KPT-330","KPT-330","DRUG"
"R-837","R-837","DRUG"
"Daratumumab","Daratumumab","DRUG"
"VINTAFOLIDE","VINTAFOLIDE","DRUG"
"EMEND","EMEND","DRUG"
"IMGATUZUMAB","IMGATUZUMAB","DRUG"
"NECITUMUMAB","NECITUMUMAB","DRUG"
"VELIPARIB","VELIPARIB","DRUG"
"SYM004","SYM004","DRUG"
"TRAIL-R2MAB XG1-048","TRAIL-R2MAB XG1-048","DRUG"
"FICLATUZUMAB","FICLATUZUMAB","DRUG"
"RO4858696-000","RO4858696-000","DRUG"
"ALDOXORUBICIN","ALDOXORUBICIN","DRUG"
"LUMRETUZUMAB","LUMRETUZUMAB","DRUG"
"LY-2801653","LY-2801653","DRUG"
"Letrozole","Letrozole","DRUG"
"Pyrotinib","Pyrotinib","DRUG"
"Gedatolisib","Gedatolisib","DRUG"
"PILARALISIB","PILARALISIB","DRUG"
"CHR-2797","CHR-2797","DRUG"
"PCI-0120","PCI-0120","DRUG"
"TF 14016","TF 14016","DRUG"
"ACLOVATE","ACLOVATE","DRUG"
"SCH-22219","SCH-22219","DRUG"
"VIOXX","VIOXX","DRUG"
"EZATIOSTAT","EZATIOSTAT","DRUG"
"Doxycycline","Doxycycline","DRUG"
"AMG-888","AMG-888","DRUG"
"Agatolimod","Agatolimod","DRUG"
"Emibetuzumab","Emibetuzumab","DRUG"
"992 DS","992 DS","DRUG"
"CARAC","CARAC","DRUG"
"W-5845","W-5845","DRUG"
"MOTEXAFIN GADOLINIUM","MOTEXAFIN GADOLINIUM","DRUG"
"NKTR-102","NKTR-102","DRUG"
"Fexofenadine","Fexofenadine","DRUG"
"NVP-LGX818","NVP-LGX818","DRUG"
"CLARINEX","CLARINEX","DRUG"
"EXEMESTANE","EXEMESTANE","DRUG"
"HM61713","HM61713","DRUG"
"TALAZOPARIB","TALAZOPARIB","DRUG"
"BGB-324","BGB-324","DRUG"
"BI 1482694","BI 1482694","DRUG"
"CS-1046","CS-1046","DRUG"
"LY2606368","LY2606368","DRUG"
"EKB-569","EKB-569","DRUG"
"CALQUENCE","CALQUENCE","DRUG"
"MK-2866","MK-2866","DRUG"
"Gadolinium texaphyrin","Gadolinium texaphyrin","DRUG"
"AS-703026","AS-703026","DRUG"
"Aldara","Aldara","DRUG"
"GILTERITINIB","GILTERITINIB","DRUG"
"SCH 34117","SCH 34117","DRUG"
"2F8","2F8","DRUG"
"MK-966","MK-966","DRUG"
"Sapanisertib","Sapanisertib","DRUG"
"Apo2L/Trail","Apo2L/Trail","DRUG"
"Anyara","Anyara","DRUG"
"FLUXID","FLUXID","DRUG"
"Encorafenib","Encorafenib","DRUG"
"Drozitumab","Drozitumab","DRUG"
"Zibotentan","Zibotentan","DRUG"
"Olmutinib","Olmutinib","DRUG"
"Trail-R1 Mab","Trail-R1 Mab","DRUG"
"PIMASERTIB","PIMASERTIB","DRUG"
"ELIXICON","ELIXICON","DRUG"
"Poziotinib","Poziotinib","DRUG"
"ALCLOMETASONE DIPROPIONATE","ALCLOMETASONE DIPROPIONATE","DRUG"
"VOSAROXIN","VOSAROXIN","DRUG"
"TRAIL-R2 MAB","TRAIL-R2 MAB","DRUG"
"BMN 673","BMN 673","DRUG"
"EFUDIX","EFUDIX","DRUG"
"XR9576","XR9576","DRUG"
"RG7160","RG7160","DRUG"
"Tepotinib","Tepotinib","DRUG"
"Zalutumumab","Zalutumumab","DRUG"
"PRO-95780","PRO-95780","DRUG"
"ZD-4054","ZD-4054","DRUG"
"RO 5185426","RO 5185426","DRUG"
"Aprepitant","Aprepitant","DRUG"
"Omnitarg","Omnitarg","DRUG"
"Omnitarg Perjeta","Omnitarg Perjeta","DRUG"
"AG-14447","AG-14447","DRUG"
"Antabuse","Antabuse","DRUG"
"CINVANTI","CINVANTI","DRUG"
"ABT-888","ABT-888","DRUG"
"EMD 1036239 ","EMD 1036239 ","DRUG"
"Rhumab-2C4","Rhumab-2C4","DRUG"
"Tosedostat","Tosedostat","DRUG"
"MIDETORIN","MIDETORIN","DRUG"
"NVP-LGX818-NXA","NVP-LGX818-NXA","DRUG"
"RG-7420","RG-7420","DRUG"
"Tozasertib","Tozasertib","DRUG"
"BKT-140","BKT-140","DRUG"
"MODRASONE","MODRASONE","DRUG"
"EMD-1214063","EMD-1214063","DRUG"
"RU-486","RU-486","DRUG"
"Sibrotuzumab","Sibrotuzumab","DRUG"
"Lynparza","Lynparza","DRUG"
"Gd-Tex","Gd-Tex","DRUG"
"Cotellic","Cotellic","DRUG"
"APRICOXIB","APRICOXIB","DRUG"
"Theolixir","Theolixir","DRUG"
"PELITINIB","PELITINIB","DRUG"
"Lanophyllin","Lanophyllin","DRUG"
"IMC-11F8","IMC-11F8","DRUG"
"Xcytrin","Xcytrin","DRUG"
"BL-8040","BL-8040","DRUG"
"VOLASERTIB","VOLASERTIB","DRUG"
"Esperal","Esperal","DRUG"
"Allegra","Allegra","DRUG"
"KORLYM","KORLYM","DRUG"
"LONAFARNIB","LONAFARNIB","DRUG"
"RG7116","RG7116","DRUG"
"Trastuzumab-Mcc-Dm1 T-Dm1","Trastuzumab-Mcc-Dm1 T-Dm1","DRUG"
"Jevtana Kit","Jevtana Kit","DRUG"
"L19SIP 131I","L19SIP 131I","DRUG"
"CO-1686","CO-1686","DRUG"
"PF-3512676","PF-3512676","DRUG"
"AERIUS","AERIUS","DRUG"
"Duraphyl","Duraphyl","DRUG"
"RAMUCIRUMAB","RAMUCIRUMAB","DRUG"
"FP-GP1","FP-GP1","DRUG"
"BMS-908662","BMS-908662","DRUG"
"Tybost","Tybost","DRUG"
"Iclusig","Iclusig","DRUG"
"SAR-245408","SAR-245408","DRUG"
"KB-80319","KB-80319","DRUG"
"WAY-EKB-569","WAY-EKB-569","DRUG"
"Ceritinib","Ceritinib","DRUG"
"HuMax-EGFr","HuMax-EGFr","DRUG"
"KM-8761","KM-8761","DRUG"
"HM-781-36B","HM-781-36B","DRUG"
"AMG-655","AMG-655","DRUG"
"SYN1131","SYN1131","DRUG"
"Tivantinib","Tivantinib","DRUG"
"Mifegyne","Mifegyne","DRUG"
"API-GP3","API-GP3","DRUG"
"IPH-2101","IPH-2101","DRUG"
"Ro-5479599","Ro-5479599","DRUG"
"CDP-820","CDP-820","DRUG"
"SIM-6802","SIM-6802","DRUG"
"R-428","R-428","DRUG"
"ZELBORAF","ZELBORAF","DRUG"
"HUMAB<EGFR>","HUMAB<EGFR>","DRUG"
"PERJETA","PERJETA","DRUG"
"TRM-1 HGS-ETR1","TRM-1 HGS-ETR1","DRUG"
"VX-970","VX-970","DRUG"
"DESLORATADINE","DESLORATADINE","DRUG"
"Uniphyllin Continus","Uniphyllin Continus","DRUG"
"CS-706","CS-706","DRUG"
"GA201","GA201","DRUG"
"Cometriq","Cometriq","DRUG"
"PERTUZUMAB","PERTUZUMAB","DRUG"
"Theoclear-100","Theoclear-100","DRUG"
"AZD2281","AZD2281","DRUG"
"CGS-20267","CGS-20267","DRUG"
"RG7446","RG7446","DRUG"
"Cabazitaxel","Cabazitaxel","DRUG"
"MSC-2156119","MSC-2156119","DRUG"
"Ro-5083945","Ro-5083945","DRUG"
"HY-15150","HY-15150","DRUG"
"Urelumab","Urelumab","DRUG"
"Etirinotecan Pegol","Etirinotecan Pegol","DRUG"
"TARIQUIDAR","TARIQUIDAR","DRUG"
"MIFEPREX","MIFEPREX","DRUG"
"PROSTIDE","PROSTIDE","DRUG"
"PEPCID AC","PEPCID AC","DRUG"
"QC-11751","QC-11751","DRUG"
"PEPCID RPD","PEPCID RPD","DRUG"
"CNX-419","CNX-419","DRUG"
"GTX-024","GTX-024","DRUG"
"Proscar","Proscar","DRUG"
"LUCITANIB","LUCITANIB","DRUG"
"RG7414","RG7414","DRUG"
"THEOCHRON","THEOCHRON","DRUG"
"FAMOTIDINE PRESERVATIVE FREE","FAMOTIDINE PRESERVATIVE FREE","DRUG"
"Cobicistat","Cobicistat","DRUG"
"Finasteride","Finasteride","DRUG"
"HKI-272","HKI-272","DRUG"
"Propecia","Propecia","DRUG"
"TRM-1","TRM-1","DRUG"
"LY-2875358","LY-2875358","DRUG"
"Entinostat","Entinostat","DRUG"
"ROCILETINIB","ROCILETINIB","DRUG"
"PNU-155971","PNU-155971","DRUG"
"VOXTALISIB","VOXTALISIB","DRUG"
"FCE24304","FCE24304","DRUG"
"THEO-24","THEO-24","DRUG"
"MATUZUMAB","MATUZUMAB","DRUG"
"Avelumab","Avelumab","DRUG"
"Belinostat","Belinostat","DRUG"
"NOV-120101","NOV-120101","DRUG"
"11F8","11F8","DRUG"
"AINDEEM","AINDEEM","DRUG"
"PD-0325901","PD-0325901","DRUG"
"Zyclara","Zyclara","DRUG"
"MERESTINIB","MERESTINIB","DRUG"
"Dulanermin","Dulanermin","DRUG"
"FUTUXIMAB","FUTUXIMAB","DRUG"
"RUCAPARIB","RUCAPARIB","DRUG"
"MM-121","MM-121","DRUG"
"RG-1273","RG-1273","DRUG"
"AZD-6738","AZD-6738","DRUG"
"LY-3009120","LY-3009120","DRUG"
"OSTARINE","OSTARINE","DRUG"
"WAY-179272","WAY-179272","DRUG"
"XL-518","XL-518","DRUG"
"BELEODAQ","BELEODAQ","DRUG"
"Mapatumumab","Mapatumumab","DRUG"
"PEPCID","PEPCID","DRUG"
"MSC-2156119J","MSC-2156119J","DRUG"
"Aromasin","Aromasin","DRUG"
"GD texaphyrin","GD texaphyrin","DRUG"
"THEOPHYL-225","THEOPHYL-225","DRUG"
"Enobosarm","Enobosarm","DRUG"
"DP-4978","DP-4978","DRUG"
"VORELOXIN","VORELOXIN","DRUG"
"MSC-1936369B","MSC-1936369B","DRUG"
"S-26308","S-26308","DRUG"
"Imiquimod","Imiquimod","DRUG"
"T140","T140","DRUG"
"SCH 66336","SCH 66336","DRUG"
"Cabozantinib","Cabozantinib","DRUG"
"SNS-595","SNS-595","DRUG"
"AG-014699","AG-014699","DRUG"
"Nuelin","Nuelin","DRUG"
"Anamorelin","Anamorelin","DRUG"
"GS-3065","GS-3065","DRUG"
