"drug","gene"
"RG-7334","KIT"
"Rastinon","KIT"
"VX-667","KIT"
"GSK-1070916","KIT"
"HMPL-813","KIT"
"GDC-0425","KIT"
"Provera","KIT"
"Alitretinoin","KIT"
"Diethylstilbestrol Diphosphate","KIT"
"Enovid","KIT"
"EMD-1204831","KIT"
"CL 118,532","KIT"
"ORINASE","KIT"
"AZD-0424","KIT"
"ESTRACYT","KIT"
"ORIMETEN","KIT"
"Ecopace","KIT"
"Acepril","KIT"
"Doxercalciferol","KIT"
"PROBALAN","KIT"
"BMS-777607","KIT"
"CL-118532","KIT"
"MK-5108","KIT"
"Ethynylestradiol","KIT"
"ADGYN MEDRO","KIT"
"HYTENEZE 50","KIT"
"FE-200486","KIT"
"Maxolon","KIT"
"AGN 192013","KIT"
"Combipatch","KIT"
"IPATASERTIB","KIT"
"GSK-2110183","KIT"
"Tapentadol","KIT"
"ESTINYL","KIT"
"KW-2450","KIT"
"Stilboesterol","KIT"
"Panretin","KIT"
"BI-811283","KIT"
"ADENOCOR","KIT"
"MENZOL","KIT"
"Stilbestroform","KIT"
"BAY-1082439","KIT"
"Curretab","KIT"
"POLYEST PHOS","KIT"
"NORETHIDRONE","KIT"
"SAMALIZUMAB","KIT"
"D-3263","KIT"
"TOCTINO","KIT"
"ARQ-087","KIT"
"PRAMIDEX","KIT"
"VX-689","KIT"
"Solaraze","KIT"
"Adenocard","KIT"
"ARQ-736","KIT"
"SC-11585","KIT"
"PKI-179","KIT"
"CG-5503","KIT"
"Captomex","KIT"
"Amen","KIT"
"ANAVAR","KIT"
"AGS-22ME","KIT"
"Micronor","KIT"
"ABT-414","KIT"
"NORIDAY","KIT"
"MEDROXIPROGESTERONE ACETATE","KIT"
"Ipafricept","KIT"
"NILUTAMIDE","KIT"
"LEO 114","KIT"
"STILBOESTROL","KIT"
"Anadron","KIT"
"Norlutin","KIT"
"NMS-1286937","KIT"
"Tensobon","KIT"
"Cambia","KIT"
"Activella","KIT"
"L19IL2","KIT"
"AGS-22CE","KIT"
"HCBE-11","KIT"
"LG100057","KIT"
"LYNORAL","KIT"
"Noyada","KIT"
"ORTHOCLONE OKT3","KIT"
"NINLARO","KIT"
"Cataflam","KIT"
"RT-PA","KIT"
"Claudiximab","KIT"
"ZK-299","KIT"
"IMAB-362","KIT"
"Farlutal 200","KIT"
"Oprozomib","KIT"
"ON-013105","KIT"
"Voltaren Ophthalmic","KIT"
"MK-2461","KIT"
"IMC-3C5","KIT"
"MSC-2015103B","KIT"
"PL-225B","KIT"
"ALRT-1057","KIT"
"Incassia","KIT"
"POLYESTRADIOL PHOS PHOSPHATE","KIT"
"CLIMANOR","KIT"
"Ro-4987655","KIT"
"CAMILA","KIT"
"Retavase","KIT"
"Hectorol","KIT"
"GDC-0068","KIT"
"GALUNISERTIB","KIT"
"Anagrelide","KIT"
"ASG-22ME","KIT"
"AFURESERTIB","KIT"
"Apstil","KIT"
"Follicoral","KIT"
"Estrobene","KIT"
"STILBETIN","KIT"
"SAR-260301","KIT"
"CAPTOPRIL","KIT"
"Tarextumab","KIT"
"Zorvolex Capsules","KIT"
"Utovlan","KIT"
"TB-403","KIT"
"DEPO-PROVERA","KIT"
"OXANDROLONE","KIT"
"AS-703988","KIT"
"ACTIVASE","KIT"
"HUMAX-IL8","KIT"
"ON 014185","KIT"
"SQ-14225","KIT"
"BI-853520","KIT"
"MSX-122","KIT"
"CB-313","KIT"
"Estramustine Phosphate","KIT"
"PF-03814735","KIT"
"ONTUXIZUMAB","KIT"
"BENURYL","KIT"
"AT-13148","KIT"
"MK-6592","KIT"
"ZK-98299","KIT"
"Cathflo Activase","KIT"
"SNS-314","KIT"
"Sayana Press","KIT"
"Lunelle","KIT"
"BRONTICTUZUMAB","KIT"
"Cafusertib","KIT"
"TAK-700","KIT"
"OMP-18R5","KIT"
"CYREN A","KIT"
"CAPOTEN","KIT"
"DCC-2036","KIT"
"CYTADREN","KIT"
"HMPL-523","KIT"
"GSK2110183C","KIT"
"Uprosertib","KIT"
"RWJ-17070","KIT"
"ALTEPLASE","KIT"
"ABT-700","KIT"
"BMS-901608","KIT"
"BN-200","KIT"
"CG5503 (BASE)","KIT"
"ME-344","KIT"
"VB6-845","KIT"
"Clopra","KIT"
"Kaplon","KIT"
"Enovid-E","KIT"
"GSK2141795","KIT"
"Ovulen-28","KIT"
"PF-00477736","KIT"
"Estradurin","KIT"
"OMP-59R5","KIT"
"NORETHINDRONE","KIT"
"AZD-5438","KIT"
"BXL 353","KIT"
"PF-03758309","KIT"
"ILX23-7553","KIT"
"Farlutal 250","KIT"
"Orteronel","KIT"
"REXOMUN","KIT"
"RG-7440","KIT"
"Arthrotec","KIT"
"ONX-0912","KIT"
"ADENOSINE","KIT"
"Synthestrin","KIT"
"MSC-2363318A","KIT"
"SR-96225","KIT"
"AV-412","KIT"
"Norlutate","KIT"
"ACTILYSE","KIT"
"Metoclopramide","KIT"
"ILX7553","KIT"
"Muromonab-cd3","KIT"
"SYNESTRIN","KIT"
"SIGNIFOR","KIT"
"AYGESTIN","KIT"
"CYCRIN","KIT"
"STILPHOSTROL","KIT"
"Agrylin","KIT"
"Enfortumab vedotin","KIT"
"JNJ-38877605","KIT"
"Ovulen","KIT"
"PDL-063","KIT"
"IMETELSTAT SODIUM","KIT"
"HYTENEZE 25","KIT"
"BRICICLIB","KIT"
"AZD-7762","KIT"
"SQ 14,225","KIT"
"LY-2780301","KIT"
"Lysodren","KIT"
"Clopra-""Yellow""","KIT"
"AC-480","KIT"
"PRIMOLUT N","KIT"
"ORF-17070","KIT"
"Voltaren","KIT"
"Nor-Qd","KIT"
"Femhrt","KIT"
"BN 200 (BASE)","KIT"
"PF-477736","KIT"
"OMP-52M51","KIT"
"Fosfestrol","KIT"
"LOXO-101","KIT"
"ZEMPLAR","KIT"
"ALXN-6000","KIT"
"PF-03732010","KIT"
"OMP-54F28","KIT"
"TXA127","KIT"
"GSK2141795C","KIT"
"OKT-3","KIT"
"NMS-1116354","KIT"
"E-6201","KIT"
"ABL-001","KIT"
"TAS-119","KIT"
"MP-412","KIT"
"NEW-ESTRANOL 1","KIT"
"Ro-23-7553","KIT"
"Prempro","KIT"
"Norinyl","KIT"
"Lopril","KIT"
"RG-7602","KIT"
"HEATHER","KIT"
"CEP-37440","KIT"
"Etinestryl","KIT"
"AZ-12600000","KIT"
"DP-1919","KIT"
"PF-04217903","KIT"
"Probampicin","KIT"
"Reglan","KIT"
"BAY-86-9766","KIT"
"AZD-8055","KIT"
"CH-4987655","KIT"
"BMS-599626","KIT"
"RDEA-119","KIT"
"BAY-1125976","KIT"
"IPI-926","KIT"
"BUDELIN NOVOLIZER","KIT"
"Nandrolone Decanoate","KIT"
"Pulmicort L.S.","KIT"
"Rhinocort allergy","KIT"
"Rhinocort Aqua 64","KIT"
"SYMBICORT","KIT"
"PULMICORT RESPULES","KIT"
"Rhinocort","KIT"
"Uceris","KIT"
"CORTIMENT","KIT"
"BUDENOFALK","KIT"
"Entocort","KIT"
"DURABOLIN","KIT"
"PULMICORT FLEXHALER","KIT"
"PULMAXAN","KIT"
"Preferid","KIT"
"Aircort","KIT"
"DECA-DURABOLIN","KIT"
"Entocort Ec","KIT"
"S-1320","KIT"
"RHINOCORT AQUA","KIT"
"Pulmicort","KIT"
"ENTOCORT CR","KIT"
"DuoResp Spiromax","KIT"
"BUDEFLAM AQUANASE","KIT"
"Neliprax","KIT"
"ALKS-33","KIT"
"SUD919CL2Y","KIT"
"Xyrem","KIT"
"RDC-0313-00","KIT"
"Pipexus","KIT"
"Oxybate","KIT"
"Mirapexin","KIT"
"OPRYMEA","KIT"
"U-98528E","KIT"
"SAMIDORPHAN","KIT"
"DILMAPIMOD","KIT"
"SB-681323","KIT"
"GW681323","KIT"
"Dobutrex","KIT"
"COMPOUND 81929","KIT"
"DURAGESIC-25","KIT"
"Selepressin","KIT"
"IONSYS","KIT"
"Innovar","KIT"
"VENTAVIS","KIT"
"VICTANYL","KIT"
"Sublimaze","KIT"
"Abstral","KIT"
"Tilofyl","KIT"
"Fentora","KIT"
"Fludrocortisone Acetate","KIT"
"FENTANYL-75","KIT"
"EPTIFIBATIDE","KIT"
"DURAGESIC-100","KIT"
"Simdax","KIT"
"DUROGESIC DTRANS","KIT"
"Mezolar Matrix","KIT"
"RECIVIT","KIT"
"ZK-00036374","KIT"
"ACTIQ","KIT"
"Effentora","KIT"
"Duragesic-12","KIT"
"Fentanyl-87","KIT"
"INTEGRILIN","KIT"
"FENTALIS RESERVOIR","KIT"
"Fluorhydrocortisone Acetate","KIT"
"Ciloprost","KIT"
"Fentanyl-25","KIT"
"Pecfent","KIT"
"MYLAFENT","KIT"
"OSMACH","KIT"
"Opiodur","KIT"
"DUROGESIC","KIT"
"Fludrocortone","KIT"
"Levosimendan","KIT"
"MATRIFEN","KIT"
"Subsys","KIT"
"Osmanil","KIT"
"ILOPROST","KIT"
"Fentanyl-12","KIT"
"FLORINEF","KIT"
"DURAGESIC","KIT"
"FENTANYL-37","KIT"
"Fentanyl-50","KIT"
"ANGIOTENSIN II","KIT"
"Fencino","KIT"
"Panotile","KIT"
"Leptanal","KIT"
"Oralet","KIT"
"(-)-OR-1259","KIT"
"Yemex","KIT"
"DURAGESIC-50","KIT"
"FENTANYL-62","KIT"
"DURAGESIC-75","KIT"
"Breakyl","KIT"
"FE-202158","KIT"
"Fentanyl-100","KIT"
"Astonin","KIT"
"WIN-3406","KIT"
"Soltel","KIT"
"CORGARD","KIT"
"VISKEN","KIT"
"BEROTEC 200","KIT"
"SEREVENT","KIT"
"Blocadren","KIT"
"Timoptic-XE","KIT"
"Bedoradrine","KIT"
"AZD-3199","KIT"
"CHF-4226","KIT"
"Berotec","KIT"
"Levalbuterol","KIT"
"TIMOLOL","KIT"
"TD-5959","KIT"
"Brethaire","KIT"
"ISOETARINE","KIT"
"BEROTEC [AS HYDROBROMIDE]","KIT"
"Foradil","KIT"
"LAS190792","KIT"
"TH 1165A [AS HYDROBROMIDE SALT]","KIT"
"BETIMOL","KIT"
"LB-46","KIT"
"HYPOLOC","KIT"
"Prinodolol","KIT"
"Arformoterol","KIT"
"Istalol","KIT"
"DUOVENT","KIT"
"Fenoterol Hydrobromide","KIT"
"GR-33343-X","KIT"
"GR 33343 X","KIT"
"Berodual N","KIT"
"SALMATEROL","KIT"
"SPIROPENT","KIT"
"Beglan","KIT"
"OPTIPRANOLOL","KIT"
"BETADREN","KIT"
"TD-3327","KIT"
"Berotec 100","KIT"
"Solgol","KIT"
"Vertine","KIT"
"METIPRANOLOL","KIT"
"Spiropent Mite","KIT"
"Nyogel","KIT"
"GLAULINE","KIT"
"LEVOBUNOLOL","KIT"
"CARMOTEROL","KIT"
"BITOLTEROL","KIT"
"Timoptic","KIT"
"R-65824","KIT"
"LAS100977","KIT"
"CLENBUTEROL HYDROCHLORIDE","KIT"
"Ritodrine","KIT"
"NEOVENT","KIT"
"GW642444X","KIT"
"Clenbuterol HCl","KIT"
"TH-1165A [As Hydrobromide Salt]","KIT"
"VUAB6453 (SPOFA)","KIT"
"NAB 365","KIT"
"Xopenex","KIT"
"Milveterol","KIT"
"NEBILET","KIT"
"ISOETHARINE","KIT"
"BM-01004","KIT"
"GSK159797","KIT"
"Brethine","KIT"
"GSK961081","KIT"
"Etyprenaline","KIT"
"GLAUCOL","KIT"
"VUAB-6453","KIT"
"R65,824","KIT"
"BATEFENTEROL","KIT"
"Tiopex","KIT"
"GSK961081A","KIT"
"BETIM","KIT"
"Abediterol","KIT"
"Berodual","KIT"
"DU-21220","KIT"
"Bricanyl","KIT"
"SQ 11725","KIT"
"GR-33343X","KIT"
"GSK159802","KIT"
"GLAU-OPT","KIT"
"NADOLOL","KIT"
"BM01.004","KIT"
"Pirbuterol","KIT"
"QABI49","KIT"
"TA-2005","KIT"
"QAB149","KIT"
"Relcofen","KIT"
"ORUVAIL","KIT"
"Tab-Profen","KIT"
"Midol","KIT"
"MOTRIN","KIT"
"CO-OP","KIT"
"Proflex","KIT"
"NOVAPRIN","KIT"
"Oruvail IM","KIT"
"Jomethid XL","KIT"
"IBUTIME","KIT"
"Brufen Ret","KIT"
"Nurofen Plus","KIT"
"Motrin Migraine Pain","KIT"
"CHILDREN'S ELIXSURE","KIT"
"Ibuprohm","KIT"
"Tiloket CR","KIT"
"MOTRIN IB","KIT"
"PHOR PAIN","KIT"
"LIDIFEN","KIT"
"Advil Liqui-Gels","KIT"
"R.P. 19583","KIT"
"KETOZIP 200 XL","KIT"
"IBUFAC","KIT"
"PAXOFEN","KIT"
"KETOVAIL","KIT"
"ORUVAIL 150","KIT"
"SECLODIN","KIT"
"Advil Migraine Liqui-Gels","KIT"
"LARAFEN","KIT"
"Cuprofen For Child","KIT"
"IBU-TAB 200","KIT"
"Nuprin","KIT"
"Profen","KIT"
"IBUMOUSSE","KIT"
"Suspren","KIT"
"Powergel","KIT"
"NUROFEN FOR CHILD","KIT"
"ORUDIS KT","KIT"
"IBUSPRAY","KIT"
"NUROFEN CHILD","KIT"
"CAP-PROFEN","KIT"
"IBUMED","KIT"
"ORUDIS 100","KIT"
"Lobufen","KIT"
"Fenoket 200","KIT"
"CUPROFEN PLUS","KIT"
"Ketonal","KIT"
"ORBIFEN","KIT"
"Children's Advil-Flavored","KIT"
"ACHES-N-PAIN","KIT"
"Nurofen Solb","KIT"
"JUNIOR STRENGTH MOTRIN","KIT"
"Children'S Ibuprofen","KIT"
"FIBLAST","KIT"
"Medipren","KIT"
"Arthrofen 400","KIT"
"Orudis","KIT"
"KETOCID 200","KIT"
"FENBID FTE","KIT"
"CHILDREN'S ADVIL","KIT"
"Valket 200 Retard","KIT"
"Nurofen Back Pain SR","KIT"
"FENPAED","KIT"
"JUNIFEN","KIT"
"CALDOLOR","KIT"
"ALRHEUMAT","KIT"
"NUROFEN 400","KIT"
"PROFLEX SR","KIT"
"ARTHROFEN 200","KIT"
"MIGRAFEN","KIT"
"Anadin LiquiFast","KIT"
"IBUPROFEN","KIT"
"ORUVAIL 100","KIT"
"Oruvail 200","KIT"
"Nurofen Sinus","KIT"
"ARCOXIA","KIT"
"MAXA-GESIC","KIT"
"Ebufac","KIT"
"Nurofen Recovery","KIT"
"MANDAFEN","KIT"
"Axorid","KIT"
"ANADIN ULTRA","KIT"
"Children'S Motrin","KIT"
"PHORPAIN MAX STRGH","KIT"
"Manorfen","KIT"
"Midol Liquid Gels","KIT"
"Actron","KIT"
"Apsifen","KIT"
"Codafen Continus","KIT"
"IBUCALM","KIT"
"TILOKET","KIT"
"PEDIATRIC ADVIL","KIT"
"ADVIL","KIT"
"Anadin Period Pain Relief","KIT"
"Inoven","KIT"
"Rufen","KIT"
"IBULAR","KIT"
"IBU-SLO","KIT"
"DEEP RELIEF","KIT"
"APSIFEN-F","KIT"
"MK-476","KIT"
"Arthrofen 600","KIT"
"Ketotard 200 XL","KIT"
"Ibumetin","KIT"
"Phensic","KIT"
"FEMAFEN","KIT"
"Junior Strength Advil","KIT"
"IBUDERM","KIT"
"Trafermin","KIT"
"Pacifene","KIT"
"Nexcede","KIT"
"Anadin Joint Pain","KIT"
"LIDIFEN-F","KIT"
"PEDEA","KIT"
"Ibuleve","KIT"
"SINGULAIR","KIT"
"RIMAFEN","KIT"
"Inabrin","KIT"
"LARAFEN CR","KIT"
"R.P. 19,583","KIT"
"ISISFEN","KIT"
"MK-0663","KIT"
"Fenbid","KIT"
"Ibugel","KIT"
"JUNIOR STRENGTH IBUPROFEN","KIT"
"RP-19583","KIT"
"Fleximex","KIT"
"FEVERFEN","KIT"
"KETOPROFEN","KIT"
"U-18,573","KIT"
"Ibu-Tab","KIT"
"Ibuprin","KIT"
"U-18573","KIT"
"CAB-2001","KIT"
"IBUGEL FTE","KIT"
"Cantor","KIT"
"Asendis","KIT"
"Asendin","KIT"
"ACR16","KIT"
"CB-30038","KIT"
"SK&F 101468","KIT"
"PRIDOPIDINE","KIT"
"NEUPRO","KIT"
"ACR-325","KIT"
"AGR-1240","KIT"
"Ordopidine","KIT"
"SPM 962","KIT"
"CL-67772","KIT"
"REQUIP","KIT"
"FR-310826","KIT"
"Huntexil","KIT"
"Brantur","KIT"
"CL 67,772","KIT"
"AMINEPTINE","KIT"
"PARLODEL","KIT"
"DEFANYL","KIT"
"CB-154","KIT"
"UCB-L059","KIT"
"Vexarin XL","KIT"
"Reductil","KIT"
"RAXATRIGINE","KIT"
"DEPEFEX XL","KIT"
"Bezagen XL","KIT"
"Fiboflapon","KIT"
"UCB-22059","KIT"
"ViePax XL","KIT"
"ELEPSIA XR","KIT"
"Motival","KIT"
"Viepax","KIT"
"HY-13239","KIT"
"Bezalip-Mono","KIT"
"EFEXOR XL","KIT"
"METHOHEXITAL","KIT"
"Allegron","KIT"
"LIPAROL XL","KIT"
"INFLECTRA","KIT"
"TRIXAT XL","KIT"
"POLITID XL","KIT"
"Zelapar","KIT"
"VENLANEO XL","KIT"
"Fortral","KIT"
"VENLABLUE XL","KIT"
"Levetiracetam In Sodium Chloride","KIT"
"Mentaven XL","KIT"
"Aventyl","KIT"
"Alventa XL","KIT"
"Foraven XL","KIT"
"SUNVENIZ XL","KIT"
"TIFAXIN XL","KIT"
"LY2979165","KIT"
"Vensir XL","KIT"
"BEZALIP","KIT"
"Winfex XL","KIT"
"TRANSDERM SCOP","KIT"
"Rodomel XL","KIT"
"Isoptpo Hyoscine","KIT"
"GSK2190915B","KIT"
"Methohexitone","KIT"
"Effexor","KIT"
"REMICADE","KIT"
"Infliximab","KIT"
"Venladex XL","KIT"
"MOTIPRESS","KIT"
"Felbatol","KIT"
"RANFAXINE XL","KIT"
"WIN-20228","KIT"
"cA2","KIT"
"ZIMBACOL XL","KIT"
"Amphero XL","KIT"
"Vixotrigine","KIT"
"EMSAM","KIT"
"Bonilux XL","KIT"
"Scopolamine","KIT"
"BM 15.075","KIT"
"Vofopitant","KIT"
"Eldepryl","KIT"
"Venaxx XL","KIT"
"Pentazocine","KIT"
"CNV1014802","KIT"
"Tardcaps XL","KIT"
"Efexor","KIT"
"Tonpular XL","KIT"
"REMSIMA","KIT"
"Vaxalin XL","KIT"
"Pamelor","KIT"
"GR-205171","KIT"
"KEPPRA","KIT"
"VENLALIC XL","KIT"
"Taloxa","KIT"
"Desitrend","KIT"
"GSK1014802","KIT"
"Fibrazate XL","KIT"
"SPRITAM","KIT"
"Keppra Xr","KIT"
"MATEVER","KIT"
"WIN 20,228","KIT"
"Talwin","KIT"
"W-554","KIT"
"Keveyis","KIT"
"Dorzant","KIT"
"NEPTAZANE","KIT"
"Diamox","KIT"
"Polmacoxib","KIT"
"AL-4862","KIT"
"CG100649","KIT"
"MK-507","KIT"
"DICLOFENAMIDE","KIT"
"ORATROL","KIT"
"Eytazox","KIT"
"Dichlorphenamide","KIT"
"Trusopt","KIT"
"Diamox SR","KIT"
"Daranide","KIT"
"AZOPT","KIT"
"ATROPINE","KIT"
"Mutabase","KIT"
"ATROPEN","KIT"
"Proglycem","KIT"
"SRG 95213","KIT"
"Diazoxide","KIT"
"Eudimine","KIT"
"Isopto Atropine","KIT"
"Atrophate","KIT"
"Eudemine","KIT"
"Atroject","KIT"
"HYPERSTAT","KIT"
"SCH-6783","KIT"
"GANITE","KIT"
"Bismuth subsalicylate","KIT"
"Alefacept","KIT"
"hLL1","KIT"
"Interferon Alfa-2A","KIT"
"HuMax-CD4","KIT"
"GALIXIMAB","KIT"
"CLARITIN REDITABS","KIT"
"VISILIZUMAB","KIT"
"Corrective Suspension","KIT"
"Vaseretic","KIT"
"VARLILUMAB","KIT"
"CLARITYNE","KIT"
"BG9273","KIT"
"GALLIUM NITRATE","KIT"
"Iratumumab","KIT"
"Ro-228181","KIT"
"LFA3TIP","KIT"
"MARIZOMIB","KIT"
"MONO-DGA-RFB4","KIT"
"CP-690550","KIT"
"Interferon Alfa-2A (Genetical Recombination)","KIT"
"CP-690","KIT"
"Norethindrone Acetate","KIT"
"Gastro-Cote","KIT"
"Children's Claritin","KIT"
"Daxas","KIT"
"Claritin","KIT"
"BG9712","KIT"
"Lexxel","KIT"
"OSU-03012","KIT"
"MILATUZUMAB","KIT"
"B9302-107","KIT"
"Oncolym","KIT"
"PROCORALAN","KIT"
"XM22","KIT"
"LYM-1","KIT"
"Pepto-Bismol","KIT"
"Corlanor","KIT"
"huM291","KIT"
"HAY-RITE","KIT"
"BYK20869","KIT"
"MDX-016","KIT"
"Clarityn","KIT"
"AR-12","KIT"
"AMEVIVE","KIT"
"KX2-391","KIT"
"Daliresp","KIT"
"INK-128","KIT"
"550","KIT"
"ALAVERT","KIT"
"BY217","KIT"
"LONQUEX","KIT"
"RP-6530","KIT"
"Zanolimumab","KIT"
"NUVION","KIT"
"Claritin Hives Relief Reditab","KIT"
"MDX-060","KIT"
"SCH-29851","KIT"
"AZD-1208","KIT"
"Vasotec","KIT"
"RG-7741","KIT"
"DS-3078a","KIT"
"Claritin-D","KIT"
"CLARITYN RAPIDE","KIT"
"TASOCITINIB","KIT"
"Loratadine Redidose","KIT"
"TAK-901","KIT"
"LIPEGFILGRASTIM","KIT"
"GDC-0575","KIT"
"Roletra","KIT"
"CLARITIN HIVES RELIEF","KIT"
"OSI-027","KIT"
"TTP-607","KIT"
"IMMU-115","KIT"
"NORETHIDRONE ACETATE","KIT"
"XL-844","KIT"
"Bismukote","KIT"
"NPI-0052","KIT"
"IDEC-114","KIT"
"SGN-30","KIT"
"CDX-1127","KIT"
"GILENYA","KIT"
"FINGOLIMOD","KIT"
"GSK-461364","KIT"
"TRU-016","KIT"
"MK-8776","KIT"
"AG-024322","KIT"
"SCH-900776","KIT"
"Cerdulatinib","KIT"
"ONO-4059","KIT"
"EPRATUZUMAB 90Y","KIT"
"POL-6326","KIT"
"PRT-2070","KIT"
"Burixafor","KIT"
"PRT-062070","KIT"
"GSK461364A","KIT"
"OTLERTUZUMAB","KIT"
"RG-7603","KIT"
"AG-24322","KIT"
"GDC-0349","KIT"
"TG-0054","KIT"
"Dizac","KIT"
"ALUPRAM 2","KIT"
"Apozepam","KIT"
"Valium","KIT"
"WY-3467","KIT"
"TENSIUM","KIT"
"R-39209","KIT"
"STESOLID","KIT"
"RO 5-2807","KIT"
"Q-Pam","KIT"
"Diastat","KIT"
"DIAZEPAM INTENSOL","KIT"
"Solis","KIT"
"Benzatropine","KIT"
"BENZTROPINE","KIT"
"ATENSINE","KIT"
"SUPRANE","KIT"
"Paxel","KIT"
"Serenack","KIT"
"Dialar","KIT"
"VALCLAIR","KIT"
"Tranimul","KIT"
"DIASTAT ACUDIAL","KIT"
"LA-III","KIT"
"E-Pam","KIT"
"ALUPRAM 5","KIT"
"Scriptopam","KIT"
"VALRELEASE","KIT"
"DESFLURANE","KIT"
"Alupram 10","KIT"
"Dialar Fte","KIT"
"Vivol","KIT"
"I-653","KIT"
"Relanium","KIT"
"Depo-Estradiol","KIT"
"Tesevatinib","KIT"
"Equine Chorionic Gonadotropin","KIT"
"FERTIRAL LH-RH","KIT"
"Elocon","KIT"
"Estraderm MX 25","KIT"
"RAD-1901","KIT"
"CR-011-vcMMAE","KIT"
"ACOLBIFENE","KIT"
"Glembatumumab","KIT"
"Tritec","KIT"
"ESTRATAB","KIT"
"MK-7965","KIT"
"Nardil","KIT"
"Asmanex Twisthaler","KIT"
"FEMATRIX 40","KIT"
"VIVELLE","KIT"
"Dermestril 100","KIT"
"LY-22288220","KIT"
"SCH-32088","KIT"
"Menorest 75","KIT"
"GRENOXAL","KIT"
"Naproxen","KIT"
"Metosyn Fapg","KIT"
"FLUOCINONIDE EMULSIFIED BASE","KIT"
"MARGETUXIMAB","KIT"
"EFAPROXIRAL","KIT"
"Elleste Solo","KIT"
"Lidex","KIT"
"KENOSYN","KIT"
"ARTHROSIN 250 EC","KIT"
"Valrox","KIT"
"VIVELLE-DOT","KIT"
"Condrotec","KIT"
"ELLESTE SOLO MX 40","KIT"
"Aquagen","KIT"
"Nycopren","KIT"
"MENOREST 50","KIT"
"Asmanex hfa","KIT"
"Stirlescent","KIT"
"Riker 52G","KIT"
"ZUMENON","KIT"
"Fempatch","KIT"
"Dihydrotheelin","KIT"
"Gynodiol","KIT"
"LABETUZUMAB","KIT"
"Laraflex","KIT"
"VIMOVO","KIT"
"DERMESTRIL 25","KIT"
"STX-64","KIT"
"FEMINAX ULTRA","KIT"
"PROGESTASERT","KIT"
"Bazedoxifene","KIT"
"Vanos","KIT"
"Dermestril Septem 25","KIT"
"Seribantumab","KIT"
"Crofelemer","KIT"
"Equiproxen","KIT"
"hMN-14","KIT"
"BRE-3","KIT"
"Estraderm","KIT"
"Evamist","KIT"
"LEFLUNOMIDE","KIT"
"Brilanestrant","KIT"
"CHORIONIC GONADOTROPIN","KIT"
"NASONEX","KIT"
"Evorel 75","KIT"
"Boniva","KIT"
"Arthrosin 250","KIT"
"Hemay-022","KIT"
"CHORAGON","KIT"
"FEMSEVEN 100","KIT"
"TIMPRON","KIT"
"ARN-810","KIT"
"RALIMETINIB","KIT"
"AS-1402","KIT"
"MENORING 50","KIT"
"ANDROID-F","KIT"
"Oestrogen","KIT"
"ADGYN ESTRO","KIT"
"TamoGel","KIT"
"Amnestrogen","KIT"
"ELESTRIM","KIT"
"ELLESTE SOLO MX 80","KIT"
"Gonadotropin, Chorionic","KIT"
"CEA-CIDE","KIT"
"Estraderm MX 100","KIT"
"PRANOXEN CONTINUS","KIT"
"Endometrin","KIT"
"ESTRADIOL HEMIHYDRATE","KIT"
"SCH-57068","KIT"
"RS-3540","KIT"
"Zantac","KIT"
"RO 67-3189/000","KIT"
"Rheuflex 500","KIT"
"DESTRADIOL","KIT"
"FEMOGEN","KIT"
"KD-019","KIT"
"ESTRING","KIT"
"Follutein","KIT"
"ESMYA","KIT"
"CGP-23339AE","KIT"
"E-Cypionate","KIT"
"Estraderm TTS 50","KIT"
"DIHYDROXYESTRIN","KIT"
"Estrogens, Conjugated","KIT"
"Evista","KIT"
"ELLA","KIT"
"Ora-Testryl","KIT"
"A.P.L.","KIT"
"Aprotinin","KIT"
"Fluoxymesterone","KIT"
"OESTRADIOL","KIT"
"RP-9921","KIT"
"Dusigitumab","KIT"
"RIMOXYN","KIT"
"Agofollin","KIT"
"Chorionic gonadotrophin","KIT"
"4-OHT","KIT"
"BAYER A 128","KIT"
"Estraderm TTS 25","KIT"
"Esclim","KIT"
"CR011","KIT"
"MEDI-573","KIT"
"VAGIFEM","KIT"
"TRASYLOL","KIT"
"Ec-Naprosyn","KIT"
"Therex","KIT"
"Pamidronate","KIT"
"GYNERGON","KIT"
"Evorel 25","KIT"
"Sinepin","KIT"
"SULOL","KIT"
"GLEMBATUMUMAB VEDOTIN","KIT"
"Crinone","KIT"
"PROVIR","KIT"
"Estraderm TTS 100","KIT"
"ESTRASORB","KIT"
"Neostigmine","KIT"
"ESTRADERM MX 50","KIT"
"DIVIGEL","KIT"
"Gynoestryl","KIT"
"VA2914","KIT"
"Iasibon","KIT"
"CDX-011","KIT"
"Afimoxifene","KIT"
"ZK-230211","KIT"
"Mometasone Furoate Monohydrate","KIT"
"Gvnodiol","KIT"
"Zonalon","KIT"
"Gesterol","KIT"
"PREGNYL","KIT"
"Lonaprisan","KIT"
"Prochieve","KIT"
"Prosaid","KIT"
"DERMESTRIL SEPTEM 50","KIT"
"GONADOTRAPHON LH","KIT"
"PREMARIN","KIT"
"MK-0822","KIT"
"RHEUFLEX 250","KIT"
"BAYER-A-128","KIT"
"Ulipristal acetate ","KIT"
"P-3693A","KIT"
"ESTRADERM MX 75","KIT"
"EVOREL 50","KIT"
"DINACICLIB","KIT"
"Evorel 100","KIT"
"Fluocinolide","KIT"
"AUS-131","KIT"
"ARAVA","KIT"
"BB-2516","KIT"
"T-DM1","KIT"
"Asmanex","KIT"
