"Drug","Gene","Disease"
"Imo LA","DAO","SCHIZOPHRENIA"
"Isosorbide Mononitrate","DAO","SCHIZOPHRENIA"
"PHASONIT LA 50","DAO","SCHIZOPHRENIA"
"Tenex","DAO","SCHIZOPHRENIA"
"Rdspa Alpha 1","DAO","SCHIZOPHRENIA"
"LARODOPA","DAO","SCHIZOPHRENIA"
"CP-15467-61","DAO","SCHIZOPHRENIA"
"Phasal","DAO","SCHIZOPHRENIA"
"Isib 60 XL","DAO","SCHIZOPHRENIA"
"CAMCOLIT 250","DAO","SCHIZOPHRENIA"
"OLMESARTAN","DAO","SCHIZOPHRENIA"
"Isodur 25 XL","DAO","SCHIZOPHRENIA"
"Carmil XL","DAO","SCHIZOPHRENIA"
"Nitro-Mack Ret","DAO","SCHIZOPHRENIA"
"Transderm-Nitro","DAO","SCHIZOPHRENIA"
"Traxoprodil","DAO","SCHIZOPHRENIA"
"SCH-530348","DAO","SCHIZOPHRENIA"
"ZIOTAN XL","DAO","SCHIZOPHRENIA"
"Rapilysin","DAO","SCHIZOPHRENIA"
"MONIT","DAO","SCHIZOPHRENIA"
"NITRIDERM TTS","DAO","SCHIZOPHRENIA"
"ARGATROBAN IN SODIUM CHLORIDE","DAO","SCHIZOPHRENIA"
"Nitroglycerin","DAO","SCHIZOPHRENIA"
"PROSTIN VR","DAO","SCHIZOPHRENIA"
"Elantan LA 50","DAO","SCHIZOPHRENIA"
"UROKINASE","DAO","SCHIZOPHRENIA"
"BIBR-1048-BS-RS1","DAO","SCHIZOPHRENIA"
"Diamox","DAO","SCHIZOPHRENIA"
"EDRONAX","DAO","SCHIZOPHRENIA"
"Lithium Carbonate","DAO","SCHIZOPHRENIA"
"LABETALOL","DAO","SCHIZOPHRENIA"
"YM-872","DAO","SCHIZOPHRENIA"
"MICARDIS","DAO","SCHIZOPHRENIA"
"HYPOLOC","DAO","SCHIZOPHRENIA"
"Prostin","DAO","SCHIZOPHRENIA"
"Viridal 20","DAO","SCHIZOPHRENIA"
"ELANTAN LA 25","DAO","SCHIZOPHRENIA"
"Nebivolol","DAO","SCHIZOPHRENIA"
"Normodyne","DAO","SCHIZOPHRENIA"
"CAMCOLIT 400","DAO","SCHIZOPHRENIA"
"SPM 962","DAO","SCHIZOPHRENIA"
"Mysoline","DAO","SCHIZOPHRENIA"
"U-10136","DAO","SCHIZOPHRENIA"
"R-65824","DAO","SCHIZOPHRENIA"
"LISKANTIN","DAO","SCHIZOPHRENIA"
"REQUIP","DAO","SCHIZOPHRENIA"
"INOMAX","DAO","SCHIZOPHRENIA"
"MINITRAN 5","DAO","SCHIZOPHRENIA"
"(-)-OR-1259","DAO","SCHIZOPHRENIA"
"Dextrostat","DAO","SCHIZOPHRENIA"
"CP-1546761","DAO","SCHIZOPHRENIA"
"ZONAMPANEL","DAO","SCHIZOPHRENIA"
"NEBILET","DAO","SCHIZOPHRENIA"
"Angeze 10","DAO","SCHIZOPHRENIA"
"Ocriplasmin","DAO","SCHIZOPHRENIA"
"MODISAL LA 25","DAO","SCHIZOPHRENIA"
"Minitran 15","DAO","SCHIZOPHRENIA"
"Percutol","DAO","SCHIZOPHRENIA"
"CIPRALEX","DAO","SCHIZOPHRENIA"
"ANGEZE SR 60","DAO","SCHIZOPHRENIA"
"Trintek 10","DAO","SCHIZOPHRENIA"
"HYDREA","DAO","SCHIZOPHRENIA"
"Dabigatran etexilate","DAO","SCHIZOPHRENIA"
"Ferndex","DAO","SCHIZOPHRENIA"
"RNH-6270","DAO","SCHIZOPHRENIA"
"Caverject","DAO","SCHIZOPHRENIA"
"DK-7419","DAO","SCHIZOPHRENIA"
"Mono-Cedocard 20","DAO","SCHIZOPHRENIA"
"ISOTRATE","DAO","SCHIZOPHRENIA"
"Argatroban","DAO","SCHIZOPHRENIA"
"Aricept","DAO","SCHIZOPHRENIA"
"Midodrine","DAO","SCHIZOPHRENIA"
"Interferon beta-1a","DAO","SCHIZOPHRENIA"
"Carbidopa","DAO","SCHIZOPHRENIA"
"Citalopram","DAO","SCHIZOPHRENIA"
"PGE1","DAO","SCHIZOPHRENIA"
"Lithotabs","DAO","SCHIZOPHRENIA"
"VORAPAXAR","DAO","SCHIZOPHRENIA"
"MONIT LS","DAO","SCHIZOPHRENIA"
"ISTIN","DAO","SCHIZOPHRENIA"
"BIBR-277-SE","DAO","SCHIZOPHRENIA"
"Edex","DAO","SCHIZOPHRENIA"
"GSK-249320","DAO","SCHIZOPHRENIA"
"Viridal 5","DAO","SCHIZOPHRENIA"
"Diamox SR","DAO","SCHIZOPHRENIA"
"Lithobid","DAO","SCHIZOPHRENIA"
"Dopar","DAO","SCHIZOPHRENIA"
"VITAROS","DAO","SCHIZOPHRENIA"
"Dexampex","DAO","SCHIZOPHRENIA"
"Abbokinase","DAO","SCHIZOPHRENIA"
"Amidate","DAO","SCHIZOPHRENIA"
"UKIDAN","DAO","SCHIZOPHRENIA"
"Simdax","DAO","SCHIZOPHRENIA"
"Tenkosorb","DAO","SCHIZOPHRENIA"
"Vasotrate 60 SR","DAO","SCHIZOPHRENIA"
"Namenda","DAO","SCHIZOPHRENIA"
"Symbyax","DAO","SCHIZOPHRENIA"
"TENECTEPLASE","DAO","SCHIZOPHRENIA"
"Pletal","DAO","SCHIZOPHRENIA"
"Acetazolamide","DAO","SCHIZOPHRENIA"
"Angeze SR 40","DAO","SCHIZOPHRENIA"
"Caverject Impulse","DAO","SCHIZOPHRENIA"
"MONODUR","DAO","SCHIZOPHRENIA"
"Botox Cosmetic","DAO","SCHIZOPHRENIA"
"MODISAL LA 50","DAO","SCHIZOPHRENIA"
"CP-101,606","DAO","SCHIZOPHRENIA"
"Ticlopidine","DAO","SCHIZOPHRENIA"
"Elantan 20","DAO","SCHIZOPHRENIA"
"MEVINACOR","DAO","SCHIZOPHRENIA"
"EUMON 60 XL","DAO","SCHIZOPHRENIA"
"Kinlytic","DAO","SCHIZOPHRENIA"
"Dexedrine","DAO","SCHIZOPHRENIA"
"TRINITRIN TABLETS","DAO","SCHIZOPHRENIA"
"Viridal Duo","DAO","SCHIZOPHRENIA"
"Neurosyn","DAO","SCHIZOPHRENIA"
"ALPROSTADIL","DAO","SCHIZOPHRENIA"
"Deponit 10","DAO","SCHIZOPHRENIA"
"BIBR 277 SE","DAO","SCHIZOPHRENIA"
"CP-101606","DAO","SCHIZOPHRENIA"
"MONOMAX XL","DAO","SCHIZOPHRENIA"
"Dexamfetamine","DAO","SCHIZOPHRENIA"
"NEOFERON","DAO","SCHIZOPHRENIA"
"BIBR-1048","DAO","SCHIZOPHRENIA"
"SUN-N4057","DAO","SCHIZOPHRENIA"
"Eytazox","DAO","SCHIZOPHRENIA"
"Intuniv","DAO","SCHIZOPHRENIA"
"Rotigotine","DAO","SCHIZOPHRENIA"
"BIBR 1048 BS RS1","DAO","SCHIZOPHRENIA"
"BM 06.022","DAO","SCHIZOPHRENIA"
"Celexa","DAO","SCHIZOPHRENIA"
"MD-805","DAO","SCHIZOPHRENIA"
"OPC-21","DAO","SCHIZOPHRENIA"
"E-2020","DAO","SCHIZOPHRENIA"
"Ibinolo","DAO","SCHIZOPHRENIA"
"Vasaten","DAO","SCHIZOPHRENIA"
"BISOPROLOL","DAO","SCHIZOPHRENIA"
"CL-297939","DAO","SCHIZOPHRENIA"
"TENORMIN","DAO","SCHIZOPHRENIA"
"Procoralan","DAO","SCHIZOPHRENIA"
"TMX-67","DAO","SCHIZOPHRENIA"
"Antipressan","DAO","SCHIZOPHRENIA"
"EMD 33 512","DAO","SCHIZOPHRENIA"
"Atenix-50","DAO","SCHIZOPHRENIA"
"Unibloc","DAO","SCHIZOPHRENIA"
"CHLORTHALIDONE","DAO","SCHIZOPHRENIA"
"BM-14.190","DAO","SCHIZOPHRENIA"
"ADENURIC","DAO","SCHIZOPHRENIA"
"Kentol","DAO","SCHIZOPHRENIA"
"THALITONE","DAO","SCHIZOPHRENIA"
"Erenumab","DAO","SCHIZOPHRENIA"
"CHLORTALIDONE","DAO","SCHIZOPHRENIA"
"Zostrix HP","DAO","SCHIZOPHRENIA"
"ATENIX-25","DAO","SCHIZOPHRENIA"
"ATENAMIN","DAO","SCHIZOPHRENIA"
"Ziac","DAO","SCHIZOPHRENIA"
"ICI-66082","DAO","SCHIZOPHRENIA"
"Aveed","DAO","SCHIZOPHRENIA"
"Tenormin L.S.","DAO","SCHIZOPHRENIA"
"Esatenolol","DAO","SCHIZOPHRENIA"
"G-33182","DAO","SCHIZOPHRENIA"
"RANOLAZINE","DAO","SCHIZOPHRENIA"
"HYGROTON","DAO","SCHIZOPHRENIA"
"ULORIC","DAO","SCHIZOPHRENIA"
"Undestor","DAO","SCHIZOPHRENIA"
"EMD-33512","DAO","SCHIZOPHRENIA"
"Dilt-CD","DAO","SCHIZOPHRENIA"
"RANEXA","DAO","SCHIZOPHRENIA"
"Atenix-100","DAO","SCHIZOPHRENIA"
"Tiazac","DAO","SCHIZOPHRENIA"
"DILTIAZEM","DAO","SCHIZOPHRENIA"
"Cardizem","DAO","SCHIZOPHRENIA"
"CL 297,939","DAO","SCHIZOPHRENIA"
"EMD-33-512","DAO","SCHIZOPHRENIA"
"RS-43285-003","DAO","SCHIZOPHRENIA"
"FEBUXOSTAT","DAO","SCHIZOPHRENIA"
"BAY-684986","DAO","SCHIZOPHRENIA"
"ICI 66,082","DAO","SCHIZOPHRENIA"
"Zebeta","DAO","SCHIZOPHRENIA"
"Restandol Testocap","DAO","SCHIZOPHRENIA"
"TENORMIN 25","DAO","SCHIZOPHRENIA"
"CVT-303","DAO","SCHIZOPHRENIA"
"AMG 334","DAO","SCHIZOPHRENIA"
"Totamol","DAO","SCHIZOPHRENIA"
"Metraspray","DAO","SCHIZOPHRENIA"
"ORUVAIL","DAO","SCHIZOPHRENIA"
"NEMBUTAL","DAO","SCHIZOPHRENIA"
"Oruvail IM","DAO","SCHIZOPHRENIA"
"Brufen Ret","DAO","SCHIZOPHRENIA"
"Ibuprohm","DAO","SCHIZOPHRENIA"
"STESOLID","DAO","SCHIZOPHRENIA"
"LIDIFEN","DAO","SCHIZOPHRENIA"
"RO 5-2807","DAO","SCHIZOPHRENIA"
"Somniton","DAO","SCHIZOPHRENIA"
"R.P. 19583","DAO","SCHIZOPHRENIA"
"RHEUFLEX 500","DAO","SCHIZOPHRENIA"
"Ibutime","DAO","SCHIZOPHRENIA"
"KETOVAIL","DAO","SCHIZOPHRENIA"
"ORUVAIL 150","DAO","SCHIZOPHRENIA"
"Diastat","DAO","SCHIZOPHRENIA"
"TOPOGYNE","DAO","SCHIZOPHRENIA"
"Solis","DAO","SCHIZOPHRENIA"
"SUFENTANIL","DAO","SCHIZOPHRENIA"
"IBUMOUSSE","DAO","SCHIZOPHRENIA"
"Timolol","DAO","SCHIZOPHRENIA"
"NUPRIN","DAO","SCHIZOPHRENIA"
"ORUDIS KT","DAO","SCHIZOPHRENIA"
"JOMETHID XL","DAO","SCHIZOPHRENIA"
"NUROFEN CHILD","DAO","SCHIZOPHRENIA"
"F-368","DAO","SCHIZOPHRENIA"
"ORUDIS 100","DAO","SCHIZOPHRENIA"
"PONTOCAINE","DAO","SCHIZOPHRENIA"
"PROFLEX","DAO","SCHIZOPHRENIA"
"Phenytex","DAO","SCHIZOPHRENIA"
"Nyogel","DAO","SCHIZOPHRENIA"
"ABT-719","DAO","SCHIZOPHRENIA"
"Fenoket 200","DAO","SCHIZOPHRENIA"
"Symmetrel","DAO","SCHIZOPHRENIA"
"Compound 81929","DAO","SCHIZOPHRENIA"
"JUNIOR STRENGTH MOTRIN","DAO","SCHIZOPHRENIA"
"Alzest","DAO","SCHIZOPHRENIA"
"Larafen","DAO","SCHIZOPHRENIA"
"Preservex","DAO","SCHIZOPHRENIA"
"EC-NAPROSYN","DAO","SCHIZOPHRENIA"
"Depefex XL","DAO","SCHIZOPHRENIA"
"Rimoxyn","DAO","SCHIZOPHRENIA"
"Phenytoin","DAO","SCHIZOPHRENIA"
"MEDIHALER-TETRACAINE","DAO","SCHIZOPHRENIA"
"DOBUTAMINE","DAO","SCHIZOPHRENIA"
"DIASTAT ACUDIAL","DAO","SCHIZOPHRENIA"
"Dilantin-125","DAO","SCHIZOPHRENIA"
"Valket 200 Retard","DAO","SCHIZOPHRENIA"
"Rodomel XL","DAO","SCHIZOPHRENIA"
"PENTOBARBITAL CALCIUM","DAO","SCHIZOPHRENIA"
"PROMETAX","DAO","SCHIZOPHRENIA"
"FORTESTA","DAO","SCHIZOPHRENIA"
"ACECLOFENAC","DAO","SCHIZOPHRENIA"
"DIZAC","DAO","SCHIZOPHRENIA"
"NUROFEN 400","DAO","SCHIZOPHRENIA"
"E-Pam","DAO","SCHIZOPHRENIA"
"Etoricoxib","DAO","SCHIZOPHRENIA"
"Anadin LiquiFast","DAO","SCHIZOPHRENIA"
"DIALAR","DAO","SCHIZOPHRENIA"
"AMETOP","DAO","SCHIZOPHRENIA"
"Scriptopam","DAO","SCHIZOPHRENIA"
"GLAUCOL","DAO","SCHIZOPHRENIA"
"MANDAFEN","DAO","SCHIZOPHRENIA"
"Dicaine","DAO","SCHIZOPHRENIA"
"Axorid","DAO","SCHIZOPHRENIA"
"DAPRODUSTAT","DAO","SCHIZOPHRENIA"
"TIOPEX","DAO","SCHIZOPHRENIA"
"Efexor XL","DAO","SCHIZOPHRENIA"
"TILOKET CR","DAO","SCHIZOPHRENIA"
"Actron","DAO","SCHIZOPHRENIA"
"Betim","DAO","SCHIZOPHRENIA"
"Akineton","DAO","SCHIZOPHRENIA"
"Valclair","DAO","SCHIZOPHRENIA"
"DIALAR FTE","DAO","SCHIZOPHRENIA"
"Anadin Period Pain Relief","DAO","SCHIZOPHRENIA"
"Inoven","DAO","SCHIZOPHRENIA"
"ORUVAIL 200","DAO","SCHIZOPHRENIA"
"Gerbin","DAO","SCHIZOPHRENIA"
"Voleze","DAO","SCHIZOPHRENIA"
"Venlablue XL","DAO","SCHIZOPHRENIA"
"Tiloket","DAO","SCHIZOPHRENIA"
"IBULAR","DAO","SCHIZOPHRENIA"
"TESTOPATCH","DAO","SCHIZOPHRENIA"
"DILANTIN-30","DAO","SCHIZOPHRENIA"
"Blocadren","DAO","SCHIZOPHRENIA"
"Ketotard 200 XL","DAO","SCHIZOPHRENIA"
"WY-3467","DAO","SCHIZOPHRENIA"
"TENSIUM","DAO","SCHIZOPHRENIA"
"Phensic","DAO","SCHIZOPHRENIA"
"HYDROCODONE","DAO","SCHIZOPHRENIA"
"IBUDERM","DAO","SCHIZOPHRENIA"
"LOBUFEN","DAO","SCHIZOPHRENIA"
"KERSTIPON","DAO","SCHIZOPHRENIA"
"Symadine","DAO","SCHIZOPHRENIA"
"MEBUBARBITAL","DAO","SCHIZOPHRENIA"
"ANDROGEL","DAO","SCHIZOPHRENIA"
"Dilaudid-HP","DAO","SCHIZOPHRENIA"
"Losartan","DAO","SCHIZOPHRENIA"
"Nexcede","DAO","SCHIZOPHRENIA"
"Rheuflex 250","DAO","SCHIZOPHRENIA"
"PROSAID","DAO","SCHIZOPHRENIA"
"ATENSINE","DAO","SCHIZOPHRENIA"
"MOTRIN MIGRAINE PAIN","DAO","SCHIZOPHRENIA"
"PITRESSIN","DAO","SCHIZOPHRENIA"
"ORUDIS","DAO","SCHIZOPHRENIA"
"Apomorphine","DAO","SCHIZOPHRENIA"
"RIMAFEN","DAO","SCHIZOPHRENIA"
"ANADIN JOINT PAIN","DAO","SCHIZOPHRENIA"
"AP214","DAO","SCHIZOPHRENIA"
"Tranimul","DAO","SCHIZOPHRENIA"
"Dilabid","DAO","SCHIZOPHRENIA"
"Proflex Sr","DAO","SCHIZOPHRENIA"
"MENTAVEN XL","DAO","SCHIZOPHRENIA"
"Venlalic XL","DAO","SCHIZOPHRENIA"
"STRIANT","DAO","SCHIZOPHRENIA"
"Striant SR","DAO","SCHIZOPHRENIA"
"Amethocaine","DAO","SCHIZOPHRENIA"
"Q-PAM","DAO","SCHIZOPHRENIA"
"ZP1480","DAO","SCHIZOPHRENIA"
"ALUPRAM 5","DAO","SCHIZOPHRENIA"
"Fleximex","DAO","SCHIZOPHRENIA"
"Diclofenac","DAO","SCHIZOPHRENIA"
"HYDROMORPHONE","DAO","SCHIZOPHRENIA"
"VALIUM","DAO","SCHIZOPHRENIA"
"SDZ-212-713","DAO","SCHIZOPHRENIA"
"Alrheumat","DAO","SCHIZOPHRENIA"
"Intrinsa","DAO","SCHIZOPHRENIA"
"Alupram 10","DAO","SCHIZOPHRENIA"
"MEBUMAL","DAO","SCHIZOPHRENIA"
"Eluden","DAO","SCHIZOPHRENIA"
"Dobutrex","DAO","SCHIZOPHRENIA"
"Alupram 2","DAO","SCHIZOPHRENIA"
"SDZ-ENA-713","DAO","SCHIZOPHRENIA"
"Vivol","DAO","SCHIZOPHRENIA"
"GLAU-OPT","DAO","SCHIZOPHRENIA"
"MYSODELLE","DAO","SCHIZOPHRENIA"
"Betimol","DAO","SCHIZOPHRENIA"
"Valrelease","DAO","SCHIZOPHRENIA"
"LA III","DAO","SCHIZOPHRENIA"
"Ketozip 200 XL","DAO","SCHIZOPHRENIA"
"Apozepam","DAO","SCHIZOPHRENIA"
"Levophed","DAO","SCHIZOPHRENIA"
"Tetracaine","DAO","SCHIZOPHRENIA"
"Exelon","DAO","SCHIZOPHRENIA"
"ERASTIG","DAO","SCHIZOPHRENIA"
"MOTRIN IB","DAO","SCHIZOPHRENIA"
"CYTOTEC","DAO","SCHIZOPHRENIA"
"Dantrolene","DAO","SCHIZOPHRENIA"
"TCMDC-125869","DAO","SCHIZOPHRENIA"
"Zanaflex","DAO","SCHIZOPHRENIA"
"Powergel","DAO","SCHIZOPHRENIA"
"CODEINE","DAO","SCHIZOPHRENIA"
"Phentytoin","DAO","SCHIZOPHRENIA"
"Biperiden","DAO","SCHIZOPHRENIA"
"Dilantin","DAO","SCHIZOPHRENIA"
"Paxel","DAO","SCHIZOPHRENIA"
"Serenack","DAO","SCHIZOPHRENIA"
"Ketonal","DAO","SCHIZOPHRENIA"
"PROCHIEVE","DAO","SCHIZOPHRENIA"
"TIZANIDINE","DAO","SCHIZOPHRENIA"
"KETOCID 200","DAO","SCHIZOPHRENIA"
"Nimvastid","DAO","SCHIZOPHRENIA"
"ORUVAIL 100","DAO","SCHIZOPHRENIA"
"ARCOXIA","DAO","SCHIZOPHRENIA"
"Amphero XL","DAO","SCHIZOPHRENIA"
"PEDIATRIC ADVIL","DAO","SCHIZOPHRENIA"
"Relanium","DAO","SCHIZOPHRENIA"
"Tardcaps XL","DAO","SCHIZOPHRENIA"
"Penthrane","DAO","SCHIZOPHRENIA"
"Dilaudid","DAO","SCHIZOPHRENIA"
"Diazepam Intensol","DAO","SCHIZOPHRENIA"
"Palladone","DAO","SCHIZOPHRENIA"
"DEEP RELIEF","DAO","SCHIZOPHRENIA"
"Timoptic-XE","DAO","SCHIZOPHRENIA"
"Hydantol","DAO","SCHIZOPHRENIA"
"Istalol","DAO","SCHIZOPHRENIA"
"Phenytek","DAO","SCHIZOPHRENIA"
"R-norepinephrine","DAO","SCHIZOPHRENIA"
"Timoptic","DAO","SCHIZOPHRENIA"
"LARAFEN CR","DAO","SCHIZOPHRENIA"
"R.P. 19,583","DAO","SCHIZOPHRENIA"
"MK-0663","DAO","SCHIZOPHRENIA"
"Dome-Cort","DAO","SCHIZOPHRENIA"
"RP-19583","DAO","SCHIZOPHRENIA"
"DIPHENYLHYDANTOIN","DAO","SCHIZOPHRENIA"
"Modimelanotide","DAO","SCHIZOPHRENIA"
"GSK1278863","DAO","SCHIZOPHRENIA"
"ENA-713","DAO","SCHIZOPHRENIA"
"Torsemide","DAO","SCHIZOPHRENIA"
"Ethibide XL","DAO","SCHIZOPHRENIA"
"Levonelle-2","DAO","SCHIZOPHRENIA"
"Elleste Solo MX 80","DAO","SCHIZOPHRENIA"
"INSULIN PEGLISPRO","DAO","SCHIZOPHRENIA"
"RO0728804","DAO","SCHIZOPHRENIA"
"Acomplia","DAO","SCHIZOPHRENIA"
"BEZAGEN XL","DAO","SCHIZOPHRENIA"
"TORASEMIDE","DAO","SCHIZOPHRENIA"
"Plan b","DAO","SCHIZOPHRENIA"
"DEMADEX","DAO","SCHIZOPHRENIA"
"SR-141716A","DAO","SCHIZOPHRENIA"
"Torem 5","DAO","SCHIZOPHRENIA"
"Emerres","DAO","SCHIZOPHRENIA"
"Cardide SR","DAO","SCHIZOPHRENIA"
"FEMPATCH","DAO","SCHIZOPHRENIA"
"Emfib","DAO","SCHIZOPHRENIA"
"Gynergon","DAO","SCHIZOPHRENIA"
"ESTRADERM TTS 25","DAO","SCHIZOPHRENIA"
"Urso 250","DAO","SCHIZOPHRENIA"
"Ursodeoxycholic Acid","DAO","SCHIZOPHRENIA"
"Upostelle","DAO","SCHIZOPHRENIA"
"Norplant Ii","DAO","SCHIZOPHRENIA"
"Levonelle","DAO","SCHIZOPHRENIA"
"GOSOGLIPTIN","DAO","SCHIZOPHRENIA"
"Carmegliptin","DAO","SCHIZOPHRENIA"
"INDAXA 2.5","DAO","SCHIZOPHRENIA"
"Beacita","DAO","SCHIZOPHRENIA"
"Bimagrumab","DAO","SCHIZOPHRENIA"
"SCH-58235","DAO","SCHIZOPHRENIA"
"MK-0364","DAO","SCHIZOPHRENIA"
"CAPTOMEX","DAO","SCHIZOPHRENIA"
"Arhalofenate","DAO","SCHIZOPHRENIA"
"ISTERANDA","DAO","SCHIZOPHRENIA"
"RO 10-6338","DAO","SCHIZOPHRENIA"
"T-0903131","DAO","SCHIZOPHRENIA"
"Hyteneze 50","DAO","SCHIZOPHRENIA"
"TENSAID XL","DAO","SCHIZOPHRENIA"
"Estradiol","DAO","SCHIZOPHRENIA"
"XOMA-052","DAO","SCHIZOPHRENIA"
"LEVONORGESTREL","DAO","SCHIZOPHRENIA"
"SABERVEL","DAO","SCHIZOPHRENIA"
"RO4876904","DAO","SCHIZOPHRENIA"
"AC-4464","DAO","SCHIZOPHRENIA"
"Ro-47-0203-029","DAO","SCHIZOPHRENIA"
"PF-03882845","DAO","SCHIZOPHRENIA"
"Ro-5073031","DAO","SCHIZOPHRENIA"
"Ursofalk","DAO","SCHIZOPHRENIA"
"RA-18C3","DAO","SCHIZOPHRENIA"
"Xenical","DAO","SCHIZOPHRENIA"
"APROVEL","DAO","SCHIZOPHRENIA"
"Xilonix","DAO","SCHIZOPHRENIA"
"NATRILIX SR","DAO","SCHIZOPHRENIA"
"Laropiprant","DAO","SCHIZOPHRENIA"
"SR 47436","DAO","SCHIZOPHRENIA"
"RIVOGLITAZONE","DAO","SCHIZOPHRENIA"
"Burinex","DAO","SCHIZOPHRENIA"
"DIHYDROTHEELIN","DAO","SCHIZOPHRENIA"
"Dermestril 25","DAO","SCHIZOPHRENIA"
"CROTEDUMAB","DAO","SCHIZOPHRENIA"
"Norgeston","DAO","SCHIZOPHRENIA"
"ZIMBACOL XL","DAO","SCHIZOPHRENIA"
"MIRENA","DAO","SCHIZOPHRENIA"
"IBIPINABANT","DAO","SCHIZOPHRENIA"
"ESTRACE","DAO","SCHIZOPHRENIA"
"Irbesartan","DAO","SCHIZOPHRENIA"
"JNJ-39659100","DAO","SCHIZOPHRENIA"
"PF-734,200","DAO","SCHIZOPHRENIA"
"GEVOKIZUMAB","DAO","SCHIZOPHRENIA"
"RIMONABANT","DAO","SCHIZOPHRENIA"
"TARANABANT","DAO","SCHIZOPHRENIA"
"BMS-646256","DAO","SCHIZOPHRENIA"
"BM02.015","DAO","SCHIZOPHRENIA"
"MK-0524","DAO","SCHIZOPHRENIA"
"Norplant System","DAO","SCHIZOPHRENIA"
"DERMESTRIL SEPTEM 25","DAO","SCHIZOPHRENIA"
"BMS-186295","DAO","SCHIZOPHRENIA"
"Parlodel","DAO","SCHIZOPHRENIA"
"PF-00734200","DAO","SCHIZOPHRENIA"
"GVNODIOL","DAO","SCHIZOPHRENIA"
"EMERRES UNA","DAO","SCHIZOPHRENIA"
"DOLOBID 500","DAO","SCHIZOPHRENIA"
"Estinyl","DAO","SCHIZOPHRENIA"
"Covera-HS","DAO","SCHIZOPHRENIA"
"TESAGLITAZAR","DAO","SCHIZOPHRENIA"
"Levosert","DAO","SCHIZOPHRENIA"
"BYM338","DAO","SCHIZOPHRENIA"
"Microval","DAO","SCHIZOPHRENIA"
"Insulin Aspart Protamine Recombinant","DAO","SCHIZOPHRENIA"
"Lynoral","DAO","SCHIZOPHRENIA"
"Torem 10","DAO","SCHIZOPHRENIA"
"Torem 2.5","DAO","SCHIZOPHRENIA"
"SLV319","DAO","SCHIZOPHRENIA"
"LOZOL","DAO","SCHIZOPHRENIA"
"MENOREST 37.5","DAO","SCHIZOPHRENIA"
"Tracleer","DAO","SCHIZOPHRENIA"
"Fallback solo","DAO","SCHIZOPHRENIA"
"EZETIMIBE","DAO","SCHIZOPHRENIA"
"Ro-470203029","DAO","SCHIZOPHRENIA"
"TAK 475","DAO","SCHIZOPHRENIA"
"Liletta","DAO","SCHIZOPHRENIA"
"Rawel XL","DAO","SCHIZOPHRENIA"
"MABp1","DAO","SCHIZOPHRENIA"
"VARBIM XL","DAO","SCHIZOPHRENIA"
"Ifirmasta","DAO","SCHIZOPHRENIA"
"LAPAQUISTAT ACETATE","DAO","SCHIZOPHRENIA"
"PF-04971729","DAO","SCHIZOPHRENIA"
"MK-0533","DAO","SCHIZOPHRENIA"
"PLAN B ONE-STEP","DAO","SCHIZOPHRENIA"
"Iproveratril","DAO","SCHIZOPHRENIA"
"Balaglitazone","DAO","SCHIZOPHRENIA"
"Galida","DAO","SCHIZOPHRENIA"
"Steglatro","DAO","SCHIZOPHRENIA"
"SR-14171","DAO","SCHIZOPHRENIA"
"M102","DAO","SCHIZOPHRENIA"
"JAYDESS","DAO","SCHIZOPHRENIA"
"ACTIGALL","DAO","SCHIZOPHRENIA"
"TESAMORELIN","DAO","SCHIZOPHRENIA"
"Fibrazate XL","DAO","SCHIZOPHRENIA"
"Estraderm MX 75","DAO","SCHIZOPHRENIA"
"CCX140","DAO","SCHIZOPHRENIA"
"Bosentan","DAO","SCHIZOPHRENIA"
"ESTRADERM MX 100","DAO","SCHIZOPHRENIA"
"Indapamide","DAO","SCHIZOPHRENIA"
"Vagifem","DAO","SCHIZOPHRENIA"
"EZETROL","DAO","SCHIZOPHRENIA"
"MBX-102","DAO","SCHIZOPHRENIA"
"Karvea","DAO","SCHIZOPHRENIA"
"R1579","DAO","SCHIZOPHRENIA"
"Indipam XL","DAO","SCHIZOPHRENIA"
"T2-18C3","DAO","SCHIZOPHRENIA"
"Natrilix","DAO","SCHIZOPHRENIA"
"Levonelle One Step","DAO","SCHIZOPHRENIA"
"SAR-425899","DAO","SCHIZOPHRENIA"
"Norplant","DAO","SCHIZOPHRENIA"
"EZINELLE","DAO","SCHIZOPHRENIA"
"T131","DAO","SCHIZOPHRENIA"
"GYNOESTRYL","DAO","SCHIZOPHRENIA"
"Theine","DAO","SCHIZOPHRENIA"
"Diflunisal","DAO","SCHIZOPHRENIA"
"Bumetanide","DAO","SCHIZOPHRENIA"
"CV-18C3","DAO","SCHIZOPHRENIA"
"INT-131","DAO","SCHIZOPHRENIA"
"HER STYLE","DAO","SCHIZOPHRENIA"
"PF-04971729-00","DAO","SCHIZOPHRENIA"
"Zetia","DAO","SCHIZOPHRENIA"
"DRF-2593","DAO","SCHIZOPHRENIA"
"McN-A-2833","DAO","SCHIZOPHRENIA"
"LIPAROL XL","DAO","SCHIZOPHRENIA"
"Avapro","DAO","SCHIZOPHRENIA"
"Mapemid XL","DAO","SCHIZOPHRENIA"
"Postinor-2","DAO","SCHIZOPHRENIA"
"Bethanechol","DAO","SCHIZOPHRENIA"
"Ovrette","DAO","SCHIZOPHRENIA"
